dataset,video_id,video,video_width,video_height,video_length,track,track_length,track_length_visible,presence_ratio,occlusion_percentage,number_of_occlusions,avg_occlusion_length,max_occlusion_length,min_occlusion_length,avg_speed,number_of_abrupt_motion_changes,min_scale,max_scale,avg_scale,number_of_scale_changes,avg_scale_change,number_of_shape_changes,category
ANIMALTRACK,1,chicken_1,2560,1440,306,1,108.0,108,0.35294117647058826,0.0,0,0.0,0.0,0.0,0.0006066635632663396,0,18540.0,27405.0,25147.324074074073,0,0.0044826681731376765,0,chicken
ANIMALTRACK,1,chicken_1,2560,1440,306,2,177.0,177,0.5784313725490197,0.0,0,0.0,0.0,0.0,0.00010165982207598436,0,37908.0,39284.0,38790.774011299436,0,0.0008046853115017471,0,chicken
ANIMALTRACK,1,chicken_1,2560,1440,306,3,306.0,306,1.0,0.0,0,0.0,0.0,0.0,0.0005135540005877294,0,60979.0,107019.0,78649.15032679739,0,0.006152119379839649,0,chicken
ANIMALTRACK,1,chicken_1,2560,1440,306,4,306.0,306,1.0,0.0,0,0.0,0.0,0.0,0.0009503497282901054,0,97152.0,396304.0,140212.35294117648,0,0.00952341452022782,0,chicken
ANIMALTRACK,1,chicken_1,2560,1440,306,5,306.0,303,1.0,0.9803921568627451,1,3.0,3.0,3.0,0.0016945778387849524,1,21080.0,106790.0,43012.27062706271,0,0.015785058649318263,1,chicken
ANIMALTRACK,1,chicken_1,2560,1440,306,6,306.0,306,1.0,0.0,0,0.0,0.0,0.0,0.0028179380559768667,2,231462.0,758616.0,390653.2254901961,0,0.013721125540520908,1,chicken
ANIMALTRACK,1,chicken_1,2560,1440,306,7,306.0,147,1.0,51.9607843137255,1,159.0,159.0,159.0,0.002810551795174978,0,29516.0,213864.0,108898.42176870749,1,0.028612153057072588,1,chicken
ANIMALTRACK,1,chicken_1,2560,1440,306,9,257.0,195,0.8398692810457516,24.124513618677042,1,62.0,62.0,62.0,0.00023484693834046821,0,15400.0,29256.0,18084.005128205128,1,0.006374295044478002,0,chicken
ANIMALTRACK,1,chicken_1,2560,1440,306,10,201.0,201,0.6568627450980392,0.0,0,0.0,0.0,0.0,0.0017672368821675818,0,27482.0,97188.0,50205.18905472637,0,0.016969945971815347,1,chicken
ANIMALTRACK,1,chicken_1,2560,1440,306,11,306.0,306,1.0,0.0,0,0.0,0.0,0.0,0.0006341344707809362,0,93805.0,149688.0,126543.16666666667,0,0.00736125151304152,0,chicken
ANIMALTRACK,1,chicken_1,2560,1440,306,12,257.0,214,0.8398692810457516,16.731517509727624,2,21.5,37.0,6.0,0.00081972240622313,0,25840.0,45675.0,32200.757009345794,0,0.01577794145879779,2,chicken
