dataset,video_id,video,video_width,video_height,video_length,track,track_length,track_length_visible,presence_ratio,occlusion_percentage,number_of_occlusions,avg_occlusion_length,max_occlusion_length,min_occlusion_length,avg_speed,number_of_abrupt_motion_changes,min_scale,max_scale,avg_scale,number_of_scale_changes,avg_scale_change,number_of_shape_changes,category
BDD,1,b1c66a42-6f7d68ca,1280,720,202,1,7.0,7,0.034653465346534656,0.0,0,0.0,0.0,0.0,0.00465360370595577,0,672.0985422578132,4729.552735280791,3340.111235583747,2,0.23346896894152716,1,car
BDD,1,b1c66a42-6f7d68ca,1280,720,202,2,12.0,9,0.0594059405940594,25.0,1,3.0,3.0,3.0,0.011460995735298641,0,688.919260099466,3553.952262233706,2093.329210404588,1,0.599428063578591,6,car
BDD,1,b1c66a42-6f7d68ca,1280,720,202,3,10.0,10,0.04950495049504951,0.0,0,0.0,0.0,0.0,0.011314356638885744,0,5693.841499142958,13926.970818430787,10710.886218155007,0,0.13016396206188943,4,car
BDD,1,b1c66a42-6f7d68ca,1280,720,202,4,21.0,20,0.10396039603960396,4.761904761904762,1,1.0,1.0,1.0,0.009906162238959402,0,2031.2008063372834,6189.026687305416,3249.5012748680165,1,0.21378866907228608,5,car
BDD,1,b1c66a42-6f7d68ca,1280,720,202,5,24.0,22,0.1188118811881188,8.333333333333332,1,2.0,2.0,2.0,0.010203176423135549,0,1198.6931900586717,6751.6514516010975,2428.033772380534,2,0.18250728281627468,3,car
BDD,1,b1c66a42-6f7d68ca,1280,720,202,6,27.0,22,0.13366336633663367,18.51851851851852,2,2.5,3.0,2.0,0.011106977346445737,1,573.9019001842593,2809.8005078522147,1249.3173292036727,1,0.2211507967690404,3,car
BDD,1,b1c66a42-6f7d68ca,1280,720,202,7,29.0,23,0.14356435643564355,20.689655172413794,2,3.0,3.0,3.0,0.011503121249685928,1,280.8682381235193,3981.160458760294,1300.540322278468,5,0.45108128560721394,5,car
BDD,1,b1c66a42-6f7d68ca,1280,720,202,8,18.0,18,0.0891089108910891,0.0,0,0.0,0.0,0.0,0.016166157840317424,1,1022.3873843733528,11232.169491245593,3384.835375352484,0,0.17834235017885772,1,car
BDD,1,b1c66a42-6f7d68ca,1280,720,202,9,2.0,2,0.009900990099009901,0.0,0,0.0,0.0,0.0,0.0010609353538270198,0,338.86388539173413,365.9745994186308,352.41924240518244,0,0.08000473109005435,0,car
BDD,1,b1c66a42-6f7d68ca,1280,720,202,10,25.0,25,0.12376237623762376,0.0,0,0.0,0.0,0.0,0.013255370473647075,2,612.998426879547,14263.388215076393,3048.997570602516,1,0.18052446879892795,2,car
BDD,1,b1c66a42-6f7d68ca,1280,720,202,11,26.0,26,0.12871287128712872,0.0,0,0.0,0.0,0.0,0.014340793071485386,3,351.18167620172375,9875.796599515585,1836.8066981508998,2,0.18334713867453867,4,car
BDD,1,b1c66a42-6f7d68ca,1280,720,202,12,37.0,37,0.18316831683168316,0.0,0,0.0,0.0,0.0,0.01003425435055985,3,197.00101520706448,15257.212023826334,2027.9622041987222,1,0.15726374154095835,2,car
BDD,1,b1c66a42-6f7d68ca,1280,720,202,13,109.0,100,0.5396039603960396,8.256880733944955,2,4.5,5.0,4.0,0.0032134674795234273,0,75.58526568369295,362.5593231329717,202.86151345207858,3,0.1331294801815007,15,car
BDD,1,b1c66a42-6f7d68ca,1280,720,202,14,41.0,41,0.20297029702970298,0.0,0,0.0,0.0,0.0,0.002048176923782754,0,115.96045660364311,467.007566450879,310.6574286430492,0,0.11781176351301051,4,car
BDD,1,b1c66a42-6f7d68ca,1280,720,202,15,123.0,123,0.6089108910891089,0.0,0,0.0,0.0,0.0,0.0058401195055062735,0,525.8711880057214,2778.7962473099187,1639.3388229211112,1,0.05084816017761672,4,car
BDD,1,b1c66a42-6f7d68ca,1280,720,202,16,55.0,55,0.2722772277227723,0.0,0,0.0,0.0,0.0,0.009652253511668577,4,221.62661459199032,47649.626419170825,5390.099126790302,5,0.19057485622714523,13,car
BDD,1,b1c66a42-6f7d68ca,1280,720,202,17,119.0,119,0.5891089108910891,0.0,0,0.0,0.0,0.0,0.006065558735122386,0,127.15365776337809,774.6489258872011,307.55498900938096,5,0.19871449945159939,13,motorcycle
