dataset,video_id,video,video_width,video_height,video_length,track,track_length,track_length_visible,presence_ratio,occlusion_percentage,number_of_occlusions,avg_occlusion_length,max_occlusion_length,min_occlusion_length,avg_speed,number_of_abrupt_motion_changes,min_scale,max_scale,avg_scale,number_of_scale_changes,avg_scale_change,number_of_shape_changes,category
BFT,1,Ac4002,1920,1080,194,1,194.0,194,1.0,0.0,0,0.0,0.0,0.0,0.005134833577423518,0,15561.0,76314.0,28576.422680412372,0,0.08189158126414707,86,bird
BFT,1,Ac4002,1920,1080,194,2,194.0,194,1.0,0.0,0,0.0,0.0,0.0,0.006244649303988471,0,23002.0,125280.0,49400.44329896907,1,0.07093097568447217,61,bird
BFT,1,Ac4002,1920,1080,194,3,177.0,177,0.9123711340206185,0.0,0,0.0,0.0,0.0,0.006313387894356235,0,5535.0,76962.0,37111.59322033898,1,0.06058581665002541,42,bird
BFT,1,Ac4002,1920,1080,194,4,25.0,25,0.12886597938144329,0.0,0,0.0,0.0,0.0,0.015423962088348729,0,13104.0,30129.0,26473.32,0,0.051259842064652984,0,bird
BFT,1,Ac4002,1920,1080,194,5,19.0,19,0.0979381443298969,0.0,0,0.0,0.0,0.0,0.003962620063001518,0,8732.0,26671.0,20460.736842105263,0,0.07516113281832382,0,bird
BFT,1,Ac4002,1920,1080,194,6,43.0,43,0.22164948453608246,0.0,0,0.0,0.0,0.0,0.015535351281450236,1,18232.0,69136.0,43173.11627906977,0,0.09544525571440769,29,bird
BFT,2,Ac4003,1920,1080,210,7,56.0,56,0.26666666666666666,0.0,0,0.0,0.0,0.0,0.008520404636179436,0,6250.0,10220.0,8141.232142857143,0,0.07420488104600212,0,bird
BFT,2,Ac4003,1920,1080,210,8,210.0,210,1.0,0.0,0,0.0,0.0,0.0,0.00400289638888305,0,4089.0,18685.0,11251.952380952382,0,0.06339889801862396,8,bird
BFT,2,Ac4003,1920,1080,210,9,210.0,210,1.0,0.0,0,0.0,0.0,0.0,0.0035113867859536975,0,14430.0,40446.0,23137.60476190476,0,0.04437824106326297,0,bird
BFT,2,Ac4003,1920,1080,210,10,179.0,179,0.8523809523809524,0.0,0,0.0,0.0,0.0,0.004755523428296364,0,9301.0,23667.0,15960.31843575419,0,0.04785032521127196,0,bird
BFT,3,An1003,1912,1080,110,11,110.0,110,1.0,0.0,0,0.0,0.0,0.0,0.01730817709287727,13,147864.0,680436.0,372823.43636363634,0,0.08563453952122002,37,bird
BFT,3,An1003,1912,1080,110,12,110.0,110,1.0,0.0,0,0.0,0.0,0.0,0.0038194026737397367,0,48719.0,144144.0,108338.77272727272,0,0.04018538972041719,24,bird
BFT,3,An1003,1912,1080,110,13,110.0,110,1.0,0.0,0,0.0,0.0,0.0,0.010045287118938397,0,169295.0,427808.0,303759.9090909091,0,0.05828643883500928,35,bird
BFT,4,An3004,1920,1080,374,14,374.0,374,1.0,0.0,0,0.0,0.0,0.0,0.005481716067056216,0,18900.0,73990.0,33972.949197860966,5,0.1046076914793144,150,bird
BFT,4,An3004,1920,1080,374,15,374.0,374,1.0,0.0,0,0.0,0.0,0.0,0.0058945572759879945,0,13596.0,70416.0,39758.60695187166,5,0.09616230638108918,121,bird
BFT,4,An3004,1920,1080,374,16,374.0,368,1.0,1.6042780748663104,1,6.0,6.0,6.0,0.0073573470017456784,2,30060.0,111492.0,63097.95923913043,2,0.08769784965440096,99,bird
BFT,4,An3004,1920,1080,374,17,374.0,374,1.0,0.0,0,0.0,0.0,0.0,0.014027890214575588,26,46376.0,319680.0,179204.39839572192,10,0.10786374975319842,121,bird
BFT,4,An3004,1920,1080,374,18,370.0,356,0.9893048128342246,3.783783783783784,2,7.0,10.0,4.0,0.012683568897575735,8,11741.0,705960.0,245666.22191011236,16,0.1423040296977821,194,bird
BFT,4,An3004,1920,1080,374,19,374.0,374,1.0,0.0,0,0.0,0.0,0.0,0.007806774417446435,4,30968.0,154435.0,83567.5962566845,2,0.0954895315555068,195,bird
BFT,4,An3004,1920,1080,374,20,327.0,327,0.8743315508021391,0.0,0,0.0,0.0,0.0,0.0031331873209588827,0,595.0,27104.0,9467.685015290519,6,0.08036065352899269,57,bird
BFT,4,An3004,1920,1080,374,21,134.0,122,0.3582887700534759,8.955223880597014,1,12.0,12.0,12.0,0.0033830210364673694,0,364.0,18733.0,10128.008196721312,3,0.10307666899922854,18,bird
BFT,5,An3005,1920,1080,350,22,350.0,350,1.0,0.0,0,0.0,0.0,0.0,0.018178228939889143,39,48866.0,565269.0,313145.4885714286,9,0.13967558195211033,150,bird
BFT,5,An3005,1920,1080,350,23,350.0,350,1.0,0.0,0,0.0,0.0,0.0,0.012384279471067365,18,38300.0,322752.0,142216.18857142856,12,0.13300072631424875,149,bird
BFT,5,An3005,1920,1080,350,24,350.0,314,1.0,10.285714285714285,2,18.0,35.0,1.0,0.009510102762875384,2,13725.0,166820.0,69316.81847133758,6,0.12397278451055245,126,bird
BFT,5,An3005,1920,1080,350,25,114.0,114,0.32571428571428573,0.0,0,0.0,0.0,0.0,0.004425871441497055,0,608.0,32218.0,14606.82456140351,1,0.13440139309365212,52,bird
BFT,5,An3005,1920,1080,350,26,350.0,283,1.0,19.142857142857142,3,22.333333333333332,64.0,1.0,0.006822939120166753,1,300.0,113190.0,50481.9222614841,13,0.14593416035264348,106,bird
BFT,5,An3005,1920,1080,350,27,109.0,96,0.31142857142857144,11.926605504587156,3,4.333333333333333,10.0,1.0,0.004647784866394739,0,1230.0,38591.0,17464.46875,6,0.16971549736812613,48,bird
BFT,6,An3006,1920,1080,269,28,189.0,125,0.7026022304832714,33.86243386243386,5,12.8,16.0,7.0,0.009425725670488423,1,2394.0,152830.0,75300.64,14,0.21998486128371125,66,bird
BFT,6,An3006,1920,1080,269,29,269.0,269,1.0,0.0,0,0.0,0.0,0.0,0.005054149068686758,0,15048.0,52521.0,31194.379182156135,2,0.09877818741180269,113,bird
BFT,6,An3006,1920,1080,269,30,269.0,269,1.0,0.0,0,0.0,0.0,0.0,0.004213824476381492,0,12036.0,38744.0,24842.728624535317,2,0.09767973938554868,115,bird
BFT,6,An3006,1920,1080,269,31,269.0,269,1.0,0.0,0,0.0,0.0,0.0,0.005374053103161863,0,12958.0,57190.0,31768.617100371746,2,0.10418343002951042,131,bird
BFT,6,An3006,1920,1080,269,32,269.0,269,1.0,0.0,0,0.0,0.0,0.0,0.007348452685632458,0,16564.0,110805.0,56593.69516728625,6,0.1255507405575884,144,bird
BFT,6,An3006,1920,1080,269,33,268.0,268,0.9962825278810409,0.0,0,0.0,0.0,0.0,0.012096438288215723,3,47174.0,385840.0,173974.49253731343,6,0.13468753499432912,151,bird
BFT,6,An3006,1920,1080,269,34,174.0,174,0.6468401486988847,0.0,0,0.0,0.0,0.0,0.007575382422659783,1,26901.0,117849.0,64263.61494252874,9,0.14432742180017236,95,bird
BFT,6,An3006,1920,1080,269,35,58.0,44,0.21561338289962825,24.137931034482758,1,14.0,14.0,14.0,0.008490012506292001,0,8029.0,155196.0,52212.09090909091,3,0.23715751758045198,31,bird
BFT,6,An3006,1920,1080,269,36,269.0,269,1.0,0.0,0,0.0,0.0,0.0,0.00782894927289644,0,32960.0,173888.0,88083.81412639405,8,0.13554444608646957,156,bird
BFT,7,An3009,1920,1080,555,37,555.0,555,1.0,0.0,0,0.0,0.0,0.0,0.005600192638223621,0,8319.0,113120.0,42313.73513513513,10,0.13044543136161674,281,bird
BFT,7,An3009,1920,1080,555,38,555.0,555,1.0,0.0,0,0.0,0.0,0.0,0.006755336726139808,2,6880.0,337322.0,112168.58558558559,12,0.09554494336471829,138,bird
BFT,7,An3009,1920,1080,555,39,555.0,555,1.0,0.0,0,0.0,0.0,0.0,0.004791864883566885,0,3904.0,56550.0,20443.201801801803,14,0.12988972493666795,231,bird
BFT,7,An3009,1920,1080,555,40,555.0,550,1.0,0.9009009009009009,1,5.0,5.0,5.0,0.005098371809502873,1,4379.0,66528.0,26152.8,13,0.13332029710434953,268,bird
BFT,7,An3009,1920,1080,555,41,555.0,555,1.0,0.0,0,0.0,0.0,0.0,0.006962844293476561,1,6424.0,176050.0,62559.87027027027,8,0.11251356626046058,215,bird
BFT,7,An3009,1920,1080,555,42,541.0,541,0.9747747747747748,0.0,0,0.0,0.0,0.0,0.004745435085268688,0,3472.0,51888.0,15140.772643253234,18,0.14313323537001155,284,bird
BFT,7,An3009,1920,1080,555,43,555.0,555,1.0,0.0,0,0.0,0.0,0.0,0.003923870669133764,0,2046.0,37884.0,14302.628828828829,10,0.13808491671898585,278,bird
BFT,8,An3013,1920,1080,119,44,119.0,119,1.0,0.0,0,0.0,0.0,0.0,0.010975158143778614,1,25986.0,95875.0,45057.39495798319,2,0.15516874634574146,13,bird
BFT,8,An3013,1920,1080,119,45,53.0,53,0.44537815126050423,0.0,0,0.0,0.0,0.0,0.006719148817216537,0,5040.0,19118.0,11624.037735849057,1,0.13614032348503027,15,bird
BFT,8,An3013,1920,1080,119,46,60.0,60,0.5042016806722689,0.0,0,0.0,0.0,0.0,0.007556877279530252,0,6499.0,27680.0,17484.983333333334,1,0.11072887335261865,10,bird
BFT,8,An3013,1920,1080,119,47,72.0,72,0.6050420168067226,0.0,0,0.0,0.0,0.0,0.00948839466815622,0,8316.0,36465.0,22702.25,0,0.10213640209372689,7,bird
