dataset,video_id,video,video_width,video_height,video_length,track,track_length,track_length_visible,presence_ratio,occlusion_percentage,number_of_occlusions,avg_occlusion_length,max_occlusion_length,min_occlusion_length,avg_speed,number_of_abrupt_motion_changes,min_scale,max_scale,avg_scale,number_of_scale_changes,avg_scale_change,number_of_shape_changes,category
DANCETRACK,1,dancetrack0030,1920,1080,1263,1,1263.0,1261,1.0,0.1583531274742676,1,2.0,2.0,2.0,0.0019457808883766698,0,8142.0,41688.0,21325.94845360825,3,0.05501091348565735,12,human
DANCETRACK,1,dancetrack0030,1920,1080,1263,2,1263.0,1263,1.0,0.0,0,0.0,0.0,0.0,0.0031410378191398212,0,12992.0,78048.0,36568.09026128266,5,0.06264911088290358,13,human
DANCETRACK,1,dancetrack0030,1920,1080,1263,3,1263.0,1263,1.0,0.0,0,0.0,0.0,0.0,0.0028748664016008765,0,11424.0,72618.0,32947.71021377672,2,0.0669192153694481,18,human
DANCETRACK,1,dancetrack0030,1920,1080,1263,4,1263.0,1259,1.0,0.3167062549485352,1,4.0,4.0,4.0,0.002500676561495007,0,11232.0,54438.0,27994.054011119937,5,0.06244706217295359,11,human
DANCETRACK,1,dancetrack0030,1920,1080,1263,5,1263.0,1263,1.0,0.0,0,0.0,0.0,0.0,0.002870760859274543,0,11025.0,61560.0,28442.568487727633,2,0.0634320504011302,20,human
DANCETRACK,1,dancetrack0030,1920,1080,1263,6,1263.0,1263,1.0,0.0,0,0.0,0.0,0.0,0.002437820516088874,0,9751.0,54648.0,23920.41884402217,2,0.06117322462388302,10,human
DANCETRACK,2,dancetrack0014,1920,1080,1203,7,1203.0,1046,1.0,13.050706566916043,9,17.444444444444443,80.0,1.0,0.0025690578837823676,0,11808.0,78672.0,28683.906309751434,5,0.06959595448024988,8,human
DANCETRACK,2,dancetrack0014,1920,1080,1203,8,1203.0,1138,1.0,5.403158769742311,5,13.0,48.0,1.0,0.002916449529969587,0,12045.0,88290.0,35937.34358523726,6,0.06981631149210768,11,human
DANCETRACK,2,dancetrack0014,1920,1080,1203,9,1203.0,937,1.0,22.111388196176225,16,16.625,93.0,1.0,0.0026975643796451837,1,9870.0,68115.0,25107.911419423694,3,0.07115781638143351,9,human
DANCETRACK,2,dancetrack0014,1920,1080,1203,10,1203.0,886,1.0,26.350789692435576,19,16.68421052631579,63.0,1.0,0.0027227083585799343,4,10208.0,61680.0,23241.357787810382,6,0.07487224098180041,10,human
DANCETRACK,2,dancetrack0014,1920,1080,1203,11,1203.0,1050,1.0,12.718204488778055,8,19.125,63.0,1.0,0.002609052497877509,2,11913.0,72050.0,28760.641904761906,2,0.06412788700967555,14,human
DANCETRACK,2,dancetrack0014,1920,1080,1203,12,1203.0,1150,1.0,4.405652535328346,7,7.571428571428571,31.0,2.0,0.002789631221038191,2,13920.0,80008.0,34227.87739130435,2,0.06473964242242748,4,human
DANCETRACK,2,dancetrack0014,1920,1080,1203,13,1202.0,1120,0.999168744804655,6.821963394342761,7,11.714285714285714,58.0,1.0,0.0028504438482796998,1,15698.0,80830.0,33516.09732142857,4,0.06295256648856885,12,human
DANCETRACK,2,dancetrack0014,1920,1080,1203,14,1203.0,1040,1.0,13.549459684123025,13,12.538461538461538,55.0,2.0,0.002760623494575146,2,10200.0,73040.0,30881.672115384616,7,0.06357139566396075,10,human
