dataset,video_id,video,video_width,video_height,video_length,track,track_length,track_length_visible,presence_ratio,occlusion_percentage,number_of_occlusions,avg_occlusion_length,max_occlusion_length,min_occlusion_length,avg_speed,number_of_abrupt_motion_changes,min_scale,max_scale,avg_scale,number_of_scale_changes,avg_scale_change,number_of_shape_changes,category
HTD,1,TAO/YFCC100M/v_c67e7a956d723e3bdf99fd15786c3e7,640,480,40,1,38.0,29,0.95,23.684210526315788,6,1.5,3.0,1.0,0.07541344084686545,19,98.0,1452.0,607.0689655172414,11,0.6058722985017393,16,racket
HTD,1,TAO/YFCC100M/v_c67e7a956d723e3bdf99fd15786c3e7,640,480,40,2,29.0,16,0.725,44.827586206896555,8,1.625,4.0,1.0,0.30506509372721413,15,648.0,22576.0,7293.8125,10,1.2236396401805756,12,racket
HTD,2,TAO/YFCC100M/v_2dbe9f59c615e1641d42829f94607281,640,1138,40,3,40.0,23,1.0,42.5,5,3.4,5.0,2.0,0.2681341592084902,20,972.0,10152.0,3880.521739130435,8,0.6347761340236973,14,ball
HTD,3,TAO/YFCC100M/v_bf3cad1558afc304c4d28a699c16de7,640,480,40,4,40.0,22,1.0,45.0,5,3.6,11.0,1.0,0.13412218487425953,12,240.0,7548.0,3072.6363636363635,5,0.5689788213605939,6,person
HTD,3,TAO/YFCC100M/v_bf3cad1558afc304c4d28a699c16de7,640,480,40,5,37.0,11,0.925,70.27027027027027,3,8.666666666666666,17.0,3.0,0.08447835145590363,5,289.0,20150.0,8533.363636363636,5,3.70101614795243,7,person
HTD,4,TAO/YFCC100M/v_5e80582fb9edf1d70cb633ed35d6a3c,640,480,40,6,40.0,12,1.0,70.0,1,28.0,28.0,28.0,0.0864713829417959,5,23617.0,76532.0,51377.416666666664,1,0.3001922048220959,3,person
HTD,4,TAO/YFCC100M/v_5e80582fb9edf1d70cb633ed35d6a3c,640,480,40,7,30.0,14,0.75,53.333333333333336,2,8.0,15.0,1.0,0.10609748157749219,8,6474.0,102300.0,35350.142857142855,3,0.5657084816991456,6,person
HTD,4,TAO/YFCC100M/v_5e80582fb9edf1d70cb633ed35d6a3c,640,480,40,8,33.0,12,0.825,63.63636363636363,2,10.5,19.0,2.0,0.032784542267630695,3,1394.0,5751.0,4092.6666666666665,3,0.4425046289637738,5,grocery_bag
HTD,5,TAO/YFCC100M/v_f5c62d251c402c57ec692dafebe4b911,640,480,40,9,33.0,16,0.825,51.515151515151516,1,17.0,17.0,17.0,0.05145112978911224,3,13207.0,33390.0,27804.0,1,0.15560340495417435,0,person
HTD,6,TAO/HACS/Peeling_potatoes_v_xCDAXbnXpU0_scene_0_0-3050,1280,720,41,10,39.0,9,0.9512195121951219,76.92307692307693,3,10.0,20.0,1.0,0.22001252943262012,6,8924.0,21507.0,15040.777777777777,3,0.4277311111325367,4,potato
HTD,6,TAO/HACS/Peeling_potatoes_v_xCDAXbnXpU0_scene_0_0-3050,1280,720,41,11,39.0,8,0.9512195121951219,79.48717948717949,2,15.5,30.0,1.0,0.2095135737498531,7,3706.0,39402.0,20228.125,4,1.6043367496412586,6,potato
