dataset,video_id,video,video_width,video_height,video_length,track,track_length,track_length_visible,presence_ratio,occlusion_percentage,number_of_occlusions,avg_occlusion_length,max_occlusion_length,min_occlusion_length,avg_speed,number_of_abrupt_motion_changes,min_scale,max_scale,avg_scale,number_of_scale_changes,avg_scale_change,number_of_shape_changes,category
LASOT,1,airplane-1,640,360,2788,1,2788.0,2788,1.0,0.0,0,0.0,0.0,0.0,0.0033267441564426305,0,656,63358,28173.628048780487,0,0.010179035778379093,39,object
LASOT,2,airplane-9,1280,720,7971,2,7971.0,7971,1.0,0.0,0,0.0,0.0,0.0,0.00598358313144161,6,342,68015,10016.270229582236,7,0.04228629194590422,378,object
LASOT,3,airplane-13,1280,720,2971,3,2971.0,2971,1.0,0.0,0,0.0,0.0,0.0,0.004383402511381598,2,1,35700,3663.281386738472,6,0.839890077319857,482,object
LASOT,4,airplane-15,480,360,4500,4,4500.0,4458,1.0,0.9333333333333335,1,42.0,42.0,42.0,0.00976675653082489,65,96,4770,951.3752803947958,8,0.050713857297121544,226,object
LASOT,5,basketball-1,640,360,1088,5,1088.0,1085,1.0,0.2757352941176471,1,3.0,3.0,3.0,0.004748525133026023,1,112,840,527.163133640553,6,0.06307608509587467,9,object
LASOT,6,basketball-6,1280,720,1794,6,1794.0,1726,1.0,3.79041248606466,10,6.8,17.0,1.0,0.00775271001075557,14,592,6083,3454.1077636152954,4,0.05096832153409398,13,object
LASOT,7,basketball-7,480,360,2101,7,2101.0,2067,1.0,1.618277010947168,3,11.333333333333334,13.0,9.0,0.005982660559750093,37,1675,23868,7326.924528301887,4,0.0271197702387885,26,object
LASOT,8,basketball-11,1280,720,1851,8,1851.0,1792,1.0,3.1874662344678555,26,2.269230769230769,8.0,1.0,0.015142346460067012,68,143,9118,4411.161830357143,40,0.0992725073042151,79,object
LASOT,9,bear-2,1280,720,6800,9,6800.0,6800,1.0,0.0,0,0.0,0.0,0.0,0.003718623080459321,31,47124,720575,428022.0482352941,1,0.011069443561279162,7,object
LASOT,10,bear-4,1280,720,1974,10,1974.0,1974,1.0,0.0,0,0.0,0.0,0.0,0.001757416476989042,0,16500,71064,42368.367274569406,0,0.015455023589887654,10,object
LASOT,11,bear-6,1280,720,1671,11,1671.0,1670,1.0,0.059844404548174746,1,1.0,1.0,1.0,0.01202578163831187,50,2624,50787,23262.6628742515,4,0.02385328765651665,20,object
LASOT,12,bear-17,480,360,2413,12,2413.0,2413,1.0,0.0,0,0.0,0.0,0.0,0.003971642518427565,1,5150,19276,14674.614587650229,0,0.01340302904756085,1,object
LASOT,13,bicycle-2,480,360,2181,13,2181.0,2146,1.0,1.6047684548372305,2,17.5,27.0,8.0,0.006846695262632761,27,228,23718,6266.663560111836,13,0.04510857200858732,34,object
LASOT,14,bicycle-7,1280,720,2461,14,2461.0,2461,1.0,0.0,0,0.0,0.0,0.0,0.003117361474283926,0,3100,268827,90441.51036164162,0,0.02488498756678693,84,object
LASOT,15,bicycle-9,1280,720,3001,15,3001.0,2867,1.0,4.465178273908697,6,22.333333333333332,64.0,1.0,0.0031948823008311877,3,182,61632,11087.489361702128,15,0.03600052757125856,24,object
LASOT,16,bicycle-18,1280,720,1355,16,1355.0,1276,1.0,5.830258302583026,3,26.333333333333332,58.0,9.0,0.007861884384013891,4,357,86093,29137.942006269594,19,0.07007902027051156,81,object
LASOT,17,bird-2,480,360,4101,17,4101.0,4099,1.0,0.0487685930260912,1,2.0,2.0,2.0,0.002925130676587721,0,1248,14378,5900.424249817029,2,0.021258781050047942,1,object
LASOT,18,bird-3,1280,720,2311,18,2311.0,2311,1.0,0.0,0,0.0,0.0,0.0,0.00592076077257031,11,4347,150114,40254.08005192557,7,0.04535495973532279,90,object
LASOT,19,bird-15,480,360,1575,19,1575.0,1575,1.0,0.0,0,0.0,0.0,0.0,0.008307034883243882,6,825,35485,6218.687619047619,0,0.0415988779224944,38,object
LASOT,20,bird-17,1280,720,5000,20,5000.0,5000,1.0,0.0,0,0.0,0.0,0.0,0.0061521220178255695,31,25092,509565,214349.347,2,0.03114635881168174,300,object
LASOT,21,boat-3,1280,720,5400,21,5400.0,5400,1.0,0.0,0,0.0,0.0,0.0,0.00498739170325979,2,7120,479156,140534.2787037037,0,0.011769196410683726,1,object
LASOT,22,boat-4,1280,720,2251,22,2251.0,2251,1.0,0.0,0,0.0,0.0,0.0,0.001522263716982408,0,7632,411120,91452.664593514,0,0.011069030871887878,0,object
LASOT,23,boat-12,1280,720,1860,23,1860.0,1860,1.0,0.0,0,0.0,0.0,0.0,0.001333499997325359,0,988,417020,182041.18279569893,0,0.012789561863143157,0,object
LASOT,24,boat-17,1280,720,1761,24,1761.0,1761,1.0,0.0,0,0.0,0.0,0.0,0.0025276478755134053,0,3483,441189,44658.203861442365,0,0.015508078140362307,20,object
LASOT,25,book-3,1280,720,1800,25,1800.0,1800,1.0,0.0,0,0.0,0.0,0.0,0.0031393337840920988,14,66177,704320,234384.91444444444,3,0.010791413984838785,34,object
LASOT,26,book-10,1280,720,1621,26,1621.0,1621,1.0,0.0,0,0.0,0.0,0.0,0.00040573476441130844,1,365516,731223,660564.9043800123,0,0.0011833495362313401,0,object
LASOT,27,book-11,1280,720,2071,27,2071.0,2071,1.0,0.0,0,0.0,0.0,0.0,0.000691155770831624,0,8250,24948,17755.613713182036,0,0.005016868709756553,0,object
LASOT,28,book-19,1280,720,2881,28,2881.0,2881,1.0,0.0,0,0.0,0.0,0.0,0.0024411675789350316,6,88922,694554,267765.4828184658,1,0.010535927703286705,6,object
LASOT,29,bottle-1,1280,720,3089,29,3089.0,2985,1.0,3.3667853674328265,29,3.586206896551724,8.0,1.0,0.025524414523858785,640,1804,279672,120998.48274706867,243,0.2403685759499539,1004,object
LASOT,30,bottle-12,1280,720,2400,30,2400.0,2315,1.0,3.5416666666666665,15,5.666666666666667,11.0,3.0,0.0016351172548729996,3,180,6512,5064.252267818574,17,0.04549563992902703,9,object
LASOT,31,bottle-14,1280,720,7201,31,7201.0,7086,1.0,1.5970004166088043,7,16.428571428571427,69.0,1.0,0.0013172628692784366,34,624,211875,144077.8406717471,47,0.022658120912880716,71,object
LASOT,32,bottle-18,1280,720,1800,32,1800.0,1645,1.0,8.61111111111111,7,22.142857142857142,54.0,3.0,0.016138840316316693,45,737,23976,8175.990273556231,29,0.09446245035411802,469,object
LASOT,33,bus-2,1280,720,1100,33,1100.0,1100,1.0,0.0,0,0.0,0.0,0.0,0.004555760252249558,1,31602,321570,188930.24545454545,1,0.00954818948817924,4,object
LASOT,34,bus-5,1280,720,1680,34,1680.0,1680,1.0,0.0,0,0.0,0.0,0.0,0.004562823588650811,0,19404,115404,52735.551785714284,0,0.026825446971474723,2,object
LASOT,35,bus-17,320,240,1971,35,1971.0,1971,1.0,0.0,0,0.0,0.0,0.0,0.004067567842794844,1,1088,14985,4547.4175545408425,0,0.005238259455202615,1,object
LASOT,36,bus-19,1280,720,1930,36,1930.0,1884,1.0,2.383419689119171,9,5.111111111111111,12.0,1.0,0.007572686081150228,13,464,156289,48758.981422505305,25,0.05101875630953,76,object
LASOT,37,car-2,1280,720,2046,37,2046.0,2046,1.0,0.0,0,0.0,0.0,0.0,0.0012923861074980332,0,1536,63426,22727.63440860215,0,0.017992384568316665,3,object
LASOT,38,car-6,1280,720,2802,38,2802.0,2802,1.0,0.0,0,0.0,0.0,0.0,0.0035513100291946135,5,1148,92131,29534.37152034261,0,0.025546261178170833,38,object
LASOT,39,car-9,1280,720,3461,39,3461.0,3461,1.0,0.0,0,0.0,0.0,0.0,0.0013246919658977021,0,3360,21228,10222.399595492632,0,0.015814151188538135,22,object
