dataset,video_id,video,video_width,video_height,video_length,track,track_length,track_length_visible,presence_ratio,occlusion_percentage,number_of_occlusions,avg_occlusion_length,max_occlusion_length,min_occlusion_length,avg_speed,number_of_abrupt_motion_changes,min_scale,max_scale,avg_scale,number_of_scale_changes,avg_scale_change,number_of_shape_changes,category
MOT17,1,MOT17-05-DPM,640,480,837,1,381.0,381,0.4551971326164875,0.0,0,0,0,0,0.00901606363543928,10,14707.0,183825.0,123112.7217847769,0,0.02369401454708089,0,human
MOT17,1,MOT17-05-DPM,640,480,837,2,336.0,336,0.4014336917562724,0.0,0,0,0,0,0.00581644115684106,3,4578.0,72900.0,37858.119047619046,0,0.02008839981809528,0,human
MOT17,1,MOT17-05-DPM,640,480,837,3,36.0,36,0.043010752688172046,0.0,0,0,0,0,0.00841472553189824,0,1323.0,2400.0,1859.9444444444443,0,0.03393702454345111,0,human
MOT17,1,MOT17-05-DPM,640,480,837,4,41.0,41,0.04898446833930705,0.0,0,0,0,0,0.0085924252082508,0,1541.0,2349.0,1844.5853658536585,0,0.02868048600331181,0,human
MOT17,1,MOT17-05-DPM,640,480,837,5,38.0,38,0.04540023894862605,0.0,0,0,0,0,0.009027804301003703,0,1380.0,2604.0,1958.157894736842,0,0.03644698286145236,0,human
MOT17,1,MOT17-05-DPM,640,480,837,6,46.0,46,0.054958183990442055,0.0,0,0,0,0,0.006469948260512071,0,1656.0,3268.0,2243.978260869565,0,0.0468887271670394,0,human
MOT17,1,MOT17-05-DPM,640,480,837,7,8.0,8,0.009557945041816009,0.0,0,0,0,0,0.004175741551369074,0,1742.0,2088.0,1926.125,0,0.04074313830144945,0,human
MOT17,1,MOT17-05-DPM,640,480,837,8,174.0,174,0.2078853046594982,0.0,0,0,0,0,0.001401691058096644,0,920.0,4173.0,1709.344827586207,0,0.025682528140152438,0,human
MOT17,1,MOT17-05-DPM,640,480,837,9,92.0,92,0.10991636798088411,0.0,0,0,0,0,0.00043643733646128523,0,1936.0,2639.0,2505.0978260869565,0,0.009835575088139696,0,human
MOT17,1,MOT17-05-DPM,640,480,837,10,4.0,4,0.0047789725209080045,0.0,0,0,0,0,0.004218239329996242,0,1159.0,1323.0,1261.25,0,0.04268626207950325,0,human
MOT17,1,MOT17-05-DPM,640,480,837,11,48.0,48,0.05734767025089606,0.0,0,0,0,0,0.0005691030981576797,0,2136.0,2576.0,2407.9375,0,0.011823609457187636,0,human
MOT17,1,MOT17-05-DPM,640,480,837,12,112.0,112,0.13381123058542413,0.0,0,0,0,0,0.001347499058257771,0,987.0,2376.0,1350.044642857143,0,0.018913776928482107,0,human
MOT17,1,MOT17-05-DPM,640,480,837,13,20.0,20,0.023894862604540025,0.0,0,0,0,0,0.0005756578947368422,0,2548.0,2639.0,2616.25,0,0.003694581280788177,0,human
MOT17,1,MOT17-05-DPM,640,480,837,14,235.0,235,0.2807646356033453,0.0,0,0,0,0,0.0021530140307258953,0,1472.0,4370.0,3096.412765957447,0,0.007753777578971974,0,human
MOT17,1,MOT17-05-DPM,640,480,837,15,37.0,37,0.04420549581839905,0.0,0,0,0,0,0.012336850800173797,0,2760.0,20160.0,6782.5675675675675,0,0.06618285242760805,0,human
MOT17,1,MOT17-05-DPM,640,480,837,16,20.0,20,0.023894862604540025,0.0,0,0,0,0,0.008689275491540572,0,4080.0,13596.0,8769.8,0,0.09014980523165571,0,human
MOT17,1,MOT17-05-DPM,640,480,837,17,7.0,7,0.008363201911589008,0.0,0,0,0,0,0.021669692878333018,0,13872.0,18392.0,16906.285714285714,0,0.04525424884276558,0,human
MOT17,1,MOT17-05-DPM,640,480,837,18,4.0,4,0.0047789725209080045,0.0,0,0,0,0,0.003985647830601215,0,2436.0,2494.0,2457.75,0,0.015641760580201072,0,human
MOT17,1,MOT17-05-DPM,640,480,837,19,14.0,14,0.016726403823178016,0.0,0,0,0,0,0.002491158398047292,0,2697.0,3914.0,3020.6428571428573,0,0.040996922691932974,0,human
MOT17,1,MOT17-05-DPM,640,480,837,20,67.0,67,0.08004778972520908,0.0,0,0,0,0,0.019709593491978268,11,3774.0,208080.0,34252.164179104475,0,0.06729401204200935,0,human
MOT17,1,MOT17-05-DPM,640,480,837,21,5.0,5,0.005973715651135006,0.0,0,0,0,0,0.015999771758248613,0,4750.0,5130.0,4989.2,0,0.019506446204239074,0,human
MOT17,1,MOT17-05-DPM,640,480,837,22,9.0,9,0.010752688172043012,0.0,0,0,0,0,0.01071146833639198,0,3045.0,4851.0,4007.222222222222,0,0.0772460326799824,0,human
MOT17,1,MOT17-05-DPM,640,480,837,23,24.0,24,0.02867383512544803,0.0,0,0,0,0,0.0304659914518082,6,9790.0,67115.0,29482.291666666668,1,0.13396215750683158,0,human
MOT17,1,MOT17-05-DPM,640,480,837,24,9.0,9,0.010752688172043012,0.0,0,0,0,0,0.020735437691477933,1,4465.0,6554.0,5627.888888888889,0,0.07648375430059115,0,human
MOT17,1,MOT17-05-DPM,640,480,837,25,53.0,53,0.06332138590203107,0.0,0,0,0,0,0.022186509502450977,7,5600.0,176000.0,40187.28301886792,0,0.0777123703244089,0,human
MOT17,1,MOT17-05-DPM,640,480,837,26,40.0,40,0.04778972520908005,0.0,0,0,0,0,0.024700379308878157,6,7350.0,138990.0,40722.65,0,0.08106556725715132,0,human
MOT17,1,MOT17-05-DPM,640,480,837,27,8.0,8,0.009557945041816009,0.0,0,0,0,0,0.030431399637168198,3,10295.0,16564.0,12798.75,0,0.08083399947799026,0,human
MOT17,1,MOT17-05-DPM,640,480,837,28,48.0,48,0.05734767025089606,0.0,0,0,0,0,0.016235153868566655,2,3432.0,8094.0,5292.916666666667,0,0.026652046131694165,0,human
