dataset,video_id,video,video_width,video_height,video_length,track,track_length,track_length_visible,presence_ratio,occlusion_percentage,number_of_occlusions,avg_occlusion_length,max_occlusion_length,min_occlusion_length,avg_speed,number_of_abrupt_motion_changes,min_scale,max_scale,avg_scale,number_of_scale_changes,avg_scale_change,number_of_shape_changes,category
SPORTSMOT,1,v_5ekaksddqrc_c004,1280,720,824,1,824.0,824,1.0,0.0,0,0.0,0.0,0.0,0.004086831581953327,0,4653.0,33652.0,17463.9963592233,0,0.07596874226324543,1,human
SPORTSMOT,1,v_5ekaksddqrc_c004,1280,720,824,2,824.0,824,1.0,0.0,0,0.0,0.0,0.0,0.00405328612407752,0,5428.0,28188.0,12591.081310679612,1,0.0833338940891256,5,human
SPORTSMOT,1,v_5ekaksddqrc_c004,1280,720,824,4,824.0,824,1.0,0.0,0,0.0,0.0,0.0,0.004623150488275586,0,4608.0,28500.0,13433.141990291262,0,0.07452356772503425,5,human
SPORTSMOT,1,v_5ekaksddqrc_c004,1280,720,824,6,824.0,824,1.0,0.0,0,0.0,0.0,0.0,0.0038807236165028782,0,3392.0,25704.0,11172.577669902912,1,0.07395514859515923,3,human
SPORTSMOT,1,v_5ekaksddqrc_c004,1280,720,824,7,824.0,735,1.0,10.800970873786406,1,89.0,89.0,89.0,0.004685901360134641,1,4551.0,25992.0,10928.0231292517,0,0.08891534607684982,4,human
SPORTSMOT,1,v_5ekaksddqrc_c004,1280,720,824,8,824.0,783,1.0,4.975728155339806,1,41.0,41.0,41.0,0.0051976366810733005,1,5208.0,24295.0,12604.232439335887,2,0.08655935005664281,4,human
SPORTSMOT,1,v_5ekaksddqrc_c004,1280,720,824,9,824.0,824,1.0,0.0,0,0.0,0.0,0.0,0.003980560950612686,0,6996.0,31899.0,16355.837378640777,0,0.0730325238195187,0,human
SPORTSMOT,1,v_5ekaksddqrc_c004,1280,720,824,10,824.0,683,1.0,17.111650485436893,2,70.5,109.0,32.0,0.003760006196376302,0,4726.0,27531.0,13143.748169838946,1,0.08053960699812358,3,human
SPORTSMOT,1,v_5ekaksddqrc_c004,1280,720,824,3,784.0,784,0.9514563106796117,0.0,0,0.0,0.0,0.0,0.0047015179308168105,0,5340.0,29605.0,15218.880102040815,3,0.07405435555192748,2,human
SPORTSMOT,1,v_5ekaksddqrc_c004,1280,720,824,5,771.0,648,0.9356796116504854,15.953307392996107,1,123.0,123.0,123.0,0.004528413573693629,1,6435.0,29484.0,14697.555555555555,0,0.07059632783617581,5,human
SPORTSMOT,2,v_G-vNjfx1GGc_c601,1280,720,481,11,186.0,186,0.3866943866943867,0.0,0,0.0,0.0,0.0,0.0051819421729028614,0,1281.0,4256.0,2240.6881720430106,1,0.07043075398420057,1,human
SPORTSMOT,2,v_G-vNjfx1GGc_c601,1280,720,481,12,403.0,402,0.8378378378378378,0.24813895781637718,1,1.0,1.0,1.0,0.004627868470402299,0,1690.0,5680.0,2819.6542288557216,0,0.06916565524862266,2,human
SPORTSMOT,2,v_G-vNjfx1GGc_c601,1280,720,481,13,426.0,368,0.8856548856548857,13.615023474178404,1,58.0,58.0,58.0,0.0052222724742792765,1,1120.0,7910.0,3627.092391304348,0,0.062221685039592564,1,human
SPORTSMOT,2,v_G-vNjfx1GGc_c601,1280,720,481,14,481.0,371,1.0,22.86902286902287,1,110.0,110.0,110.0,0.004453158284267304,1,1440.0,6042.0,2915.2830188679245,2,0.0793657855889975,1,human
SPORTSMOT,2,v_G-vNjfx1GGc_c601,1280,720,481,15,481.0,295,1.0,38.66943866943867,1,186.0,186.0,186.0,0.0046025485995937285,1,864.0,3784.0,1884.3966101694916,1,0.07445824558958025,1,human
SPORTSMOT,2,v_G-vNjfx1GGc_c601,1280,720,481,16,293.0,233,0.6091476091476091,20.477815699658702,1,60.0,60.0,60.0,0.004159171241652504,1,1920.0,6624.0,3860.0429184549357,0,0.06546420333776824,0,human
