dataset,video_id,video,video_width,video_height,video_length,track,track_length,track_length_visible,presence_ratio,occlusion_percentage,number_of_occlusions,avg_occlusion_length,max_occlusion_length,min_occlusion_length,avg_speed,number_of_abrupt_motion_changes,min_scale,max_scale,avg_scale,number_of_scale_changes,avg_scale_change
SPORTSMOT_TRAIN,1,v_4LXTUim5anY_c010,1280,720,526,1,526.0,489,1.0,7.0342205323193925,1,37.0,37.0,37.0,0.003730608999996788,62,0.0044444444444444444,0.021975911458333334,0.011077513899539877,72,0.0008538029015824226
SPORTSMOT_TRAIN,1,v_4LXTUim5anY_c010,1280,720,526,2,498.0,498,0.9467680608365019,0.0,0,0.0,0.0,0.0,0.003930568951915574,65,0.00515625,0.0228515625,0.011702816038459393,80,0.000914028004834563
SPORTSMOT_TRAIN,1,v_4LXTUim5anY_c010,1280,720,526,3,526.0,526,1.0,0.0,0,0.0,0.0,0.0,0.00314190224992154,59,0.006119791666666667,0.029736328125,0.014740039227529575,63,0.0009383060515873015
SPORTSMOT_TRAIN,1,v_4LXTUim5anY_c010,1280,720,526,4,520.0,410,0.9885931558935361,21.153846153846153,1,110.0,110.0,110.0,0.006007368876016049,18,0.004750434027777778,0.0453125,0.015746091103489162,52,0.0011977044281445259
SPORTSMOT_TRAIN,1,v_4LXTUim5anY_c010,1280,720,526,5,476.0,436,0.9049429657794676,8.403361344537815,1,40.0,40.0,40.0,0.004753964914196151,15,0.005501302083333334,0.029222005208333332,0.012159711271980124,54,0.0007970795418263091
SPORTSMOT_TRAIN,1,v_4LXTUim5anY_c010,1280,720,526,6,526.0,466,1.0,11.406844106463879,1,60.0,60.0,60.0,0.005112753511919937,35,0.004582248263888889,0.027916666666666666,0.012310687980597281,60,0.0010312219982078852
SPORTSMOT_TRAIN,1,v_4LXTUim5anY_c010,1280,720,526,7,526.0,477,1.0,9.315589353612168,1,49.0,49.0,49.0,0.0037149662797701793,45,0.0060416666666666665,0.0287109375,0.014413596170364548,46,0.0008377511160714286
SPORTSMOT_TRAIN,1,v_4LXTUim5anY_c010,1280,720,526,8,526.0,526,1.0,0.0,0,0.0,0.0,0.0,0.003394170277633042,69,0.0067621527777777775,0.031097005208333334,0.015856247689585972,77,0.0010509300595238095
SPORTSMOT_TRAIN,1,v_4LXTUim5anY_c010,1280,720,526,9,467.0,466,0.8878326996197718,0.21413276231263384,1,1.0,1.0,1.0,0.004056916070428443,59,0.005392795138888889,0.025770399305555556,0.012445071269969004,57,0.000840611465800478
SPORTSMOT_TRAIN,1,v_4LXTUim5anY_c010,1280,720,526,10,526.0,526,1.0,0.0,0,0.0,0.0,0.0,0.0031295327620720712,74,0.00654296875,0.029827473958333333,0.012907290924033586,65,0.0008801545965608466
SPORTSMOT_TRAIN,2,v_4LXTUim5anY_c002,1280,720,876,11,876.0,750,1.0,14.383561643835616,3,42.0,63.0,1.0,0.0038725985827115002,10,0.005236545138888889,0.03515625,0.01356485821759259,79,0.0008952011246476783
SPORTSMOT_TRAIN,2,v_4LXTUim5anY_c002,1280,720,876,12,876.0,791,1.0,9.703196347031962,2,42.5,46.0,39.0,0.003834165071742168,50,0.003046875,0.031188151041666667,0.01436230153243082,111,0.0009285612253867792
SPORTSMOT_TRAIN,2,v_4LXTUim5anY_c002,1280,720,876,13,876.0,698,1.0,20.319634703196346,1,178.0,178.0,178.0,0.0038755651211715763,33,0.005011935763888889,0.03013454861111111,0.013444308888490925,96,0.0008377748012314682
SPORTSMOT_TRAIN,2,v_4LXTUim5anY_c002,1280,720,876,14,857.0,649,0.978310502283105,24.27071178529755,1,208.0,208.0,208.0,0.0037836914042432444,35,0.00720703125,0.032250434027777775,0.014865200602422529,68,0.000930071962877229
SPORTSMOT_TRAIN,2,v_4LXTUim5anY_c002,1280,720,876,15,876.0,792,1.0,9.58904109589041,1,84.0,84.0,84.0,0.004229138474469772,75,0.004826388888888889,0.03893229166666667,0.01241276151269641,90,0.0010128265908133165
SPORTSMOT_TRAIN,2,v_4LXTUim5anY_c002,1280,720,876,16,876.0,821,1.0,6.278538812785388,1,55.0,55.0,55.0,0.004169641677739305,104,0.0042426215277777775,0.024652777777777777,0.010777294320527136,106,0.000939742917936992
SPORTSMOT_TRAIN,2,v_4LXTUim5anY_c002,1280,720,876,17,876.0,851,1.0,2.853881278538813,1,25.0,25.0,25.0,0.003988783154624374,104,0.004427083333333333,0.03435221354166667,0.012742219121295207,108,0.0010953099468954247
SPORTSMOT_TRAIN,2,v_4LXTUim5anY_c002,1280,720,876,18,876.0,876,1.0,0.0,0,0.0,0.0,0.0,0.003621746370009166,108,0.009765625,0.040546875,0.01859529585235921,116,0.001443815724206349
SPORTSMOT_TRAIN,2,v_4LXTUim5anY_c002,1280,720,876,19,876.0,720,1.0,17.80821917808219,1,156.0,156.0,156.0,0.004009875662816759,106,0.0070703125,0.035972222222222225,0.017081038110050156,106,0.001109754397021326
SPORTSMOT_TRAIN,2,v_4LXTUim5anY_c002,1280,720,876,20,876.0,748,1.0,14.61187214611872,2,64.0,106.0,22.0,0.00401536014585163,61,0.0040104166666666665,0.03314344618055556,0.013895442824383543,99,0.0010554007116428679
