dataset,video_id,video,video_width,video_height,video_length,track,track_length,track_length_visible,presence_ratio,occlusion_percentage,number_of_occlusions,avg_occlusion_length,max_occlusion_length,min_occlusion_length,avg_speed,number_of_abrupt_motion_changes,min_scale,max_scale,avg_scale,number_of_scale_changes,avg_scale_change
ANIMALTRACK,1,chicken_1,2560,1440,306,1,108.0,108,0.35294117647058826,0.0,0,0.0,0.0,0.0,0.0005287531210077528,6,0.005029296875,0.00743408203125,0.0068216482405799896,5,2.997124058930425e-05
ANIMALTRACK,1,chicken_1,2560,1440,306,2,177.0,177,0.5784313725490197,0.0,0,0.0,0.0,0.0,8.860421402986219e-05,40,0.010283203125,0.01065646701388889,0.010522670901502669,29,8.390792692550515e-06
ANIMALTRACK,1,chicken_1,2560,1440,306,3,306.0,306,1.0,0.0,0,0.0,0.0,0.0,0.0004476011039047114,38,0.016541612413194445,0.02903076171875,0.02133494746278141,29,0.00013853757542122035
ANIMALTRACK,1,chicken_1,2560,1440,306,4,306.0,306,1.0,0.0,0,0.0,0.0,0.0,0.0008283015748906181,38,0.026354166666666668,0.10750434027777778,0.03803503497753268,26,0.00046672572290528216
ANIMALTRACK,1,chicken_1,2560,1440,306,5,306.0,303,1.0,0.9803921568627451,1,3.0,3.0,3.0,0.0014769525900383527,19,0.005718315972222222,0.028968641493055555,0.011667825148400257,19,0.0002375502653030721
ANIMALTRACK,1,chicken_1,2560,1440,306,6,306.0,306,1.0,0.0,0,0.0,0.0,0.0,0.0024560458747217456,34,0.0627880859375,0.20578776041666666,0.10597146958826935,31,0.0015643455074567394
ANIMALTRACK,1,chicken_1,2560,1440,306,7,306.0,147,1.0,51.9607843137255,1,159.0,159.0,159.0,0.0024496081904959977,13,0.008006727430555555,0.058014322916666666,0.02954058750236206,16,0.0007316247948772831
ANIMALTRACK,1,chicken_1,2560,1440,306,9,257.0,195,0.8398692810457516,24.124513618677042,1,62.0,62.0,62.0,0.00020468684642614956,5,0.004177517361111111,0.007936197916666667,0.0049056003494480065,1,3.255208333333334e-05
ANIMALTRACK,1,chicken_1,2560,1440,306,10,201.0,201,0.6568627450980392,0.0,0,0.0,0.0,0.0,0.0015402804348015236,14,0.007454969618055555,0.026363932291666666,0.013619029148960059,19,0.00023421223958333334
ANIMALTRACK,1,chicken_1,2560,1440,306,11,306.0,306,1.0,0.0,0,0.0,0.0,0.0,0.0005526960919800863,28,0.025446234809027777,0.04060546875,0.034327030888310184,26,0.0002477800546448088
ANIMALTRACK,1,chicken_1,2560,1440,306,12,257.0,214,0.8398692810457516,16.731517509727624,2,21.5,37.0,6.0,0.0007144499964969527,16,0.007009548611111111,0.01239013671875,0.008735014379705346,16,0.00014484912949921756
ANIMALTRACK,1,chicken_1,2560,1440,306,13,181.0,168,0.5915032679738562,7.18232044198895,2,6.5,7.0,6.0,0.0011682506346084405,9,0.006278754340277777,0.014322916666666666,0.008614577843398644,12,0.00014437271290751832
ANIMALTRACK,1,chicken_1,2560,1440,306,14,306.0,306,1.0,0.0,0,0.0,0.0,0.0,0.004541278834689772,31,0.024169921875,0.22064100477430557,0.12721751050318852,23,0.0034112937941142983
ANIMALTRACK,1,chicken_1,2560,1440,306,15,306.0,306,1.0,0.0,0,0.0,0.0,0.0,0.0006308580468897015,30,0.09584418402777778,0.11857503255208333,0.10502712673611111,28,0.00044107361395719476
ANIMALTRACK,1,chicken_1,2560,1440,306,16,306.0,306,1.0,0.0,0,0.0,0.0,0.0,0.003465444080374868,32,0.11461317274305556,0.2815755208333333,0.1856168371573166,34,0.0031592010331284144
ANIMALTRACK,1,chicken_1,2560,1440,306,17,306.0,306,1.0,0.0,0,0.0,0.0,0.0,0.001185026777976773,34,0.008797200520833333,0.04443359375,0.03389719800318854,28,0.00045666748491575594
ANIMALTRACK,1,chicken_1,2560,1440,306,18,306.0,246,1.0,19.607843137254903,3,20.0,29.0,10.0,0.0016489074797722508,8,0.0024609375,0.011338975694444444,0.004285969169913054,22,0.00011266785359977323
ANIMALTRACK,1,chicken_1,2560,1440,306,19,306.0,306,1.0,0.0,0,0.0,0.0,0.0,0.0029347642112923207,23,0.05267795138888889,0.11253472222222222,0.08540405539385894,22,0.0010806197703210382
ANIMALTRACK,1,chicken_1,2560,1440,306,20,306.0,306,1.0,0.0,0,0.0,0.0,0.0,0.0005262773187478854,19,0.017266167534722224,0.03265625,0.025863400572179104,35,0.00019542901155510014
ANIMALTRACK,1,chicken_1,2560,1440,306,21,306.0,306,1.0,0.0,0,0.0,0.0,0.0,0.0010681911506819526,23,0.004745279947916667,0.043486328125,0.01558024620438453,17,0.0002713349556010928
ANIMALTRACK,1,chicken_1,2560,1440,306,22,239.0,224,0.7810457516339869,6.2761506276150625,1,15.0,15.0,15.0,0.0011394680966865835,13,0.0032511393229166666,0.011842447916666667,0.004741627526661706,20,8.79782090807175e-05
ANIMALTRACK,1,chicken_1,2560,1440,306,24,296.0,296,0.9673202614379085,0.0,0,0.0,0.0,0.0,0.0007385098320474608,13,0.0136669921875,0.02888481987847222,0.018255348549232827,19,0.00021304602901365345
ANIMALTRACK,1,chicken_1,2560,1440,306,8,279.0,250,0.9117647058823529,10.39426523297491,1,29.0,29.0,29.0,0.0003933983934069874,16,0.010679253472222223,0.01608371310763889,0.014955099826388889,12,9.366023120258816e-05
ANIMALTRACK,1,chicken_1,2560,1440,306,25,278.0,245,0.9084967320261438,11.870503597122301,4,8.25,11.0,6.0,0.00025662318862171193,8,0.011761610243055555,0.01748236762152778,0.014033985925099208,4,7.155454875341535e-05
ANIMALTRACK,1,chicken_1,2560,1440,306,26,237.0,231,0.7745098039215687,2.5316455696202533,1,6.0,6.0,6.0,5.4924079936893664e-05,15,0.008104383680555556,0.010477973090277778,0.008621229031385281,19,1.430640474033816e-05
