dataset,video_id,video,video_width,video_height,video_length,track,track_length,track_length_visible,presence_ratio,occlusion_percentage,number_of_occlusions,avg_occlusion_length,max_occlusion_length,min_occlusion_length,avg_speed,number_of_abrupt_motion_changes,min_scale,max_scale,avg_scale,number_of_scale_changes,avg_scale_change
ANIMALTRACK_TRAIN,1,chicken_3,2560,1440,326,1,326.0,326,1.0,0.0,0,0.0,0.0,0.0,0.0005221104354237297,33,0.007677408854166666,0.013606770833333334,0.010835339546853699,38,9.26532451923077e-05
ANIMALTRACK_TRAIN,1,chicken_3,2560,1440,326,2,326.0,324,1.0,0.6134969325153374,1,2.0,2.0,2.0,0.002642919064047479,44,0.00968967013888889,0.024576822916666668,0.01439286764430084,39,0.0004738662871947025
ANIMALTRACK_TRAIN,1,chicken_3,2560,1440,326,3,326.0,326,1.0,0.0,0,0.0,0.0,0.0,0.0020240672234418285,46,0.0058414713541666665,0.02999457465277778,0.015183101308207651,48,0.00048565371260683753
ANIMALTRACK_TRAIN,1,chicken_3,2560,1440,326,4,326.0,326,1.0,0.0,0,0.0,0.0,0.0,0.0009895443049001747,36,0.005214029947916666,0.012893880208333333,0.00815083613587466,45,0.00015497796474358977
ANIMALTRACK_TRAIN,1,chicken_3,2560,1440,326,5,326.0,320,1.0,1.8404907975460123,1,6.0,6.0,6.0,0.0010301193853592874,25,0.008260091145833334,0.0173583984375,0.011414693196614584,32,0.00020840646497300583
ANIMALTRACK_TRAIN,1,chicken_3,2560,1440,326,6,326.0,311,1.0,4.601226993865031,2,7.5,11.0,4.0,0.0009040051674376183,26,0.005174424913194444,0.012783203125,0.008656725023166756,39,0.0001574654527889785
ANIMALTRACK_TRAIN,1,chicken_3,2560,1440,326,7,326.0,326,1.0,0.0,0,0.0,0.0,0.0,0.001790023932750398,31,0.006566297743055556,0.033134765625,0.013762889360195124,27,0.0004324869791666668
ANIMALTRACK_TRAIN,1,chicken_3,2560,1440,326,8,326.0,292,1.0,10.429447852760736,2,17.0,17.0,17.0,0.0008063596716588652,7,0.005657552083333333,0.014673665364583333,0.008797301781594845,28,0.0001560132236779305
ANIMALTRACK_TRAIN,1,chicken_3,2560,1440,326,9,326.0,321,1.0,1.5337423312883436,2,2.5,3.0,2.0,0.002693258897106269,21,0.0104736328125,0.02791259765625,0.018754183939890534,22,0.0006266148885091145
ANIMALTRACK_TRAIN,1,chicken_3,2560,1440,326,10,326.0,326,1.0,0.0,0,0.0,0.0,0.0,0.0016192424328161188,26,0.005209689670138889,0.015235731336805556,0.008984021353900393,35,0.00022796808226495727
ANIMALTRACK_TRAIN,1,chicken_3,2560,1440,326,11,326.0,306,1.0,6.134969325153374,2,10.0,16.0,4.0,0.0014934163941582505,20,0.007877604166666666,0.01963433159722222,0.011217376997095135,28,0.00023143108208105646
