dataset,video_id,video,video_width,video_height,video_length,track,track_length,track_length_visible,presence_ratio,occlusion_percentage,number_of_occlusions,avg_occlusion_length,max_occlusion_length,min_occlusion_length,avg_speed,number_of_abrupt_motion_changes,min_scale,max_scale,avg_scale,number_of_scale_changes,avg_scale_change
BDD,1,b1c66a42-6f7d68ca,1280,720,202,1,7.0,7,0.034653465346534656,0.0,0,0.0,0.0,0.0,0.004055967149583193,1,0.0007292735918596063,0.00513189315894183,0.003624252642777503,1,0.0007337699278470374
BDD,1,b1c66a42-6f7d68ca,1280,720,202,2,12.0,9,0.0594059405940594,25.0,1,3.0,3.0,3.0,0.009989123513975082,1,0.0007475252388232053,0.0038562850067640035,0.0022714075633730336,1,0.0009291858288833462
BDD,1,b1c66a42-6f7d68ca,1280,720,202,3,10.0,10,0.04950495049504951,0.0,0,0.0,0.0,0.0,0.009861316464755554,1,0.006178213432229772,0.015111730488748684,0.01162205535824111,1,0.0015706964375221326
BDD,1,b1c66a42-6f7d68ca,1280,720,202,4,21.0,20,0.10396039603960396,4.761904761904762,1,1.0,1.0,1.0,0.00863396867426397,3,0.002203993930487504,0.006715523749246328,0.0035259345430425524,2,0.0006872069510209422
BDD,1,b1c66a42-6f7d68ca,1280,720,202,5,24.0,22,0.1188118811881188,8.333333333333332,1,2.0,2.0,2.0,0.008892838971370904,2,0.0013006653537963018,0.00732601068967133,0.002634585256489294,1,0.0006426094366084585
BDD,1,b1c66a42-6f7d68ca,1280,720,202,6,27.0,22,0.13366336633663367,18.51851851851852,2,2.5,3.0,2.0,0.009680569746558645,3,0.0006227234159985452,0.0030488286760549203,0.0013555960603338464,3,0.0002646088184271976
BDD,1,b1c66a42-6f7d68ca,1280,720,202,7,29.0,23,0.14356435643564355,20.689655172413794,2,3.0,3.0,3.0,0.01002583908180383,2,0.000304761543102777,0.004319835567231222,0.001411176564972296,2,0.0004907176394526453
BDD,1,b1c66a42-6f7d68ca,1280,720,202,8,18.0,18,0.0891089108910891,0.0,0,0.0,0.0,0.0,0.014090027702914903,2,0.0011093613111690026,0.012187683909771693,0.0036727814402696224,3,0.0008598343387164484
BDD,1,b1c66a42-6f7d68ca,1280,720,202,9,2.0,2,0.009900990099009901,0.0,0,0.0,0.0,0.0,0.0009246853008662084,0,0.00036769084786429483,0.00039710785527195184,0.0003823993515681233,0,2.9417007407657014e-05
BDD,1,b1c66a42-6f7d68ca,1280,720,202,10,25.0,25,0.12376237623762376,0.0,0,0.0,0.0,0.0,0.01155305664035384,2,0.0006651458624995085,0.015476766726428377,0.003308374100046133,2,0.000918918751055613
BDD,1,b1c66a42-6f7d68ca,1280,720,202,11,26.0,26,0.12871287128712872,0.0,0,0.0,0.0,0.0,0.012499084424071891,3,0.0003810565062952732,0.010715925129682708,0.0019930628235144314,3,0.0006990240142539697
BDD,1,b1c66a42-6f7d68ca,1280,720,202,12,37.0,37,0.18316831683168316,0.0,0,0.0,0.0,0.0,0.008745610625233546,4,0.000213759782125721,0.01655513457446434,0.002200479822264239,4,0.0005696750960521389
BDD,1,b1c66a42-6f7d68ca,1280,720,202,13,109.0,100,0.5396039603960396,8.256880733944955,2,4.5,5.0,4.0,0.002800779644497902,16,8.201526224359044e-05,0.00039340204333004745,0.00022011882970060612,11,2.6581689181372783e-05
BDD,1,b1c66a42-6f7d68ca,1280,720,202,14,41.0,41,0.20297029702970298,0.0,0,0.0,0.0,0.0,0.001785140902472061,7,0.00012582514822443913,0.0005067356406802073,0.00033708488351025294,9,3.5500256959879165e-05
BDD,1,b1c66a42-6f7d68ca,1280,720,202,15,123.0,123,0.6089108910891089,0.0,0,0.0,0.0,0.0,0.0050901052948831875,17,0.000570606757818708,0.0030151869002928806,0.0017787964658432195,5,8.485392403886244e-05
BDD,1,b1c66a42-6f7d68ca,1280,720,202,16,55.0,55,0.2722772277227723,0.0,0,0.0,0.0,0.0,0.008412668038894858,4,0.00024048026756943395,0.05170315366663501,0.005848631865006839,4,0.0015633093719649995
BDD,1,b1c66a42-6f7d68ca,1280,720,202,17,119.0,119,0.5891089108910891,0.0,0,0.0,0.0,0.0,0.0052865926125247945,18,0.00013797054878838768,0.000840547879651911,0.0003337185210605262,19,6.617918897607957e-05
BDD,1,b1c66a42-6f7d68ca,1280,720,202,18,36.0,36,0.1782178217821782,0.0,0,0.0,0.0,0.0,0.01210832235279918,4,0.0007774617012338507,0.03389376435755632,0.006507355049672427,4,0.0017485198967449314
BDD,1,b1c66a42-6f7d68ca,1280,720,202,19,16.0,16,0.07920792079207921,0.0,0,0.0,0.0,0.0,0.017804607284230035,2,0.004668049057096263,0.048824799160966194,0.025835627151324217,2,0.005256632028703351
BDD,1,b1c66a42-6f7d68ca,1280,720,202,20,19.0,19,0.09405940594059406,0.0,0,0.0,0.0,0.0,0.01738115721954531,3,0.0038561923505561484,0.03813013912762476,0.012524184130830743,3,0.0036181193891072056
BDD,1,b1c66a42-6f7d68ca,1280,720,202,21,27.0,27,0.13366336633663367,0.0,0,0.0,0.0,0.0,0.014079075616984005,2,0.0012121283827141657,0.03660237223710242,0.007875735250924719,3,0.002066586509508003
BDD,1,b1c66a42-6f7d68ca,1280,720,202,22,25.0,25,0.12376237623762376,0.0,0,0.0,0.0,0.0,0.015795461554858597,3,0.002895303183029785,0.04715381812238479,0.011477984200005604,3,0.003540341619372181
BDD,1,b1c66a42-6f7d68ca,1280,720,202,23,22.0,22,0.10891089108910891,0.0,0,0.0,0.0,0.0,0.016423560835120334,5,0.003700923529652623,0.03760011818383652,0.012125211848974093,2,0.00306533169344021
BDD,1,b1c66a42-6f7d68ca,1280,720,202,24,119.0,119,0.5891089108910891,0.0,0,0.0,0.0,0.0,0.005149450999725146,17,0.00019211433825148965,0.0011712117717243512,0.0006628989891636258,15,6.964399299681604e-05
