dataset,video_id,video,video_width,video_height,video_length,track,track_length,track_length_visible,presence_ratio,occlusion_percentage,number_of_occlusions,avg_occlusion_length,max_occlusion_length,min_occlusion_length,avg_speed,number_of_abrupt_motion_changes,min_scale,max_scale,avg_scale,number_of_scale_changes,avg_scale_change
BFT,1,Ac4002,1920,1080,194,1,194.0,194,1.0,0.0,0,0.0,0.0,0.0,0.004475395333288073,23,0.007504340277777778,0.03680266203703704,0.013781068036464297,24,0.0011320903697306978
BFT,1,Ac4002,1920,1080,194,2,194.0,194,1.0,0.0,0,0.0,0.0,0.0,0.005442683571278195,28,0.01109278549382716,0.06041666666666667,0.023823516251431844,24,0.0016826434865348941
BFT,1,Ac4002,1920,1080,194,3,177.0,177,0.9123711340206185,0.0,0,0.0,0.0,0.0,0.005502594445099163,18,0.0026692708333333334,0.03711516203703704,0.017897180372462858,15,0.0011839559878296859
BFT,1,Ac4002,1920,1080,194,4,25.0,25,0.12886597938144329,0.0,0,0.0,0.0,0.0,0.013443148041741229,5,0.006319444444444444,0.01452980324074074,0.012766840277777778,2,0.0006272706082818929
BFT,1,Ac4002,1920,1080,194,5,19.0,19,0.0979381443298969,0.0,0,0.0,0.0,0.0,0.003453722709831063,4,0.004211033950617284,0.012862172067901235,0.009867253492527615,3,0.0006776459619341565
BFT,1,Ac4002,1920,1080,194,6,43.0,43,0.22164948453608246,0.0,0,0.0,0.0,0.0,0.013540232137548545,3,0.008792438271604938,0.03334104938271605,0.020820368575940284,4,0.001904141865079365
BFT,2,Ac4003,1920,1080,210,7,56.0,56,0.26666666666666666,0.0,0,0.0,0.0,0.0,0.0074261762472965925,12,0.0030140817901234567,0.004928626543209877,0.003926134328152558,9,0.0002818725448933782
BFT,2,Ac4003,1920,1080,210,8,210.0,210,1.0,0.0,0,0.0,0.0,0.0,0.0034888265701946623,29,0.0019719328703703704,0.009010898919753086,0.005426288763962374,33,0.0003058684432039695
BFT,2,Ac4003,1920,1080,210,9,210.0,210,1.0,0.0,0,0.0,0.0,0.0,0.0030604388240196385,28,0.006958912037037037,0.019505208333333333,0.011158181308788947,25,0.0004916327935790654
BFT,2,Ac4003,1920,1080,210,10,179.0,179,0.8523809523809524,0.0,0,0.0,0.0,0.0,0.0041447978863257805,25,0.004485435956790123,0.011413483796296297,0.007696912825884543,23,0.00035794287089055345
BFT,3,An1003,1912,1080,110,11,110.0,110,1.0,0.0,0,0.0,0.0,0.0,0.015070203972804095,9,0.07160622966062297,0.3295153417015342,0.1805475342687686,15,0.012786670590593664
BFT,3,An1003,1912,1080,110,12,110.0,110,1.0,0.0,0,0.0,0.0,0.0,0.003325548209881567,9,0.023593193088485974,0.06980474198047419,0.05246531299747827,19,0.001702358763508048
BFT,3,An1003,1912,1080,110,13,110.0,110,1.0,0.0,0,0.0,0.0,0.0,0.008746416507956902,13,0.08198463892763055,0.20717495738416242,0.14710207901891997,15,0.00790087943592128
BFT,4,An3004,1920,1080,374,14,374.0,374,1.0,0.0,0,0.0,0.0,0.0,0.004777729625508793,56,0.009114583333333334,0.03568190586419753,0.016383559605449925,43,0.0016763078496839113
BFT,4,An3004,1920,1080,374,15,374.0,374,1.0,0.0,0,0.0,0.0,0.0,0.0051375519239306566,51,0.006556712962962963,0.03395833333333333,0.01917371091428996,50,0.0017104961026710359
BFT,4,An3004,1920,1080,374,16,374.0,368,1.0,1.6042780748663104,1,6.0,6.0,6.0,0.0064124836648581825,50,0.014496527777777778,0.05376736111111111,0.03042918558985843,39,0.0025308471149964673
BFT,4,An3004,1920,1080,374,17,374.0,374,1.0,0.0,0,0.0,0.0,0.0,0.01222636594849293,60,0.02236496913580247,0.15416666666666667,0.08642187422633195,59,0.007646408416906629
BFT,4,An3004,1920,1080,374,18,370.0,356,0.9893048128342246,3.783783783783784,2,7.0,10.0,4.0,0.011054688374560799,56,0.005662133487654321,0.3404513888888889,0.11847329374523165,52,0.013238379738306383
BFT,4,An3004,1920,1080,374,19,374.0,374,1.0,0.0,0,0.0,0.0,0.0,0.006804193606096068,55,0.014934413580246914,0.07447675540123457,0.0403007312194659,53,0.0036677648590838384
BFT,4,An3004,1920,1080,374,20,327.0,327,0.8743315508021391,0.0,0,0.0,0.0,0.0,0.0027308094221765657,41,0.0002869405864197531,0.013070987654320987,0.004565820319873901,27,0.0003393833906119821
BFT,4,An3004,1920,1080,374,21,134.0,122,0.3582887700534759,8.955223880597014,1,12.0,12.0,12.0,0.0029485583769626967,19,0.00017554012345679014,0.009034047067901235,0.00488426321215341,11,0.00035630133404754614
BFT,5,An3005,1920,1080,350,22,350.0,350,1.0,0.0,0,0.0,0.0,0.0,0.015843699652256904,43,0.023565779320987655,0.2726027199074074,0.15101537836199294,45,0.017751039676854506
BFT,5,An3005,1920,1080,350,23,350.0,350,1.0,0.0,0,0.0,0.0,0.0,0.010793835031896067,40,0.018470293209876542,0.15564814814814815,0.06858419587742504,41,0.007825016471222895
BFT,5,An3005,1920,1080,350,24,350.0,314,1.0,10.285714285714285,2,18.0,35.0,1.0,0.008288772923662771,44,0.006618923611111111,0.08044945987654321,0.0334282496486003,29,0.00379445664714235
BFT,5,An3005,1920,1080,350,25,114.0,114,0.32571428571428573,0.0,0,0.0,0.0,0.0,0.0038574812788669988,17,0.0002932098765432099,0.015537229938271604,0.007044186227528699,17,0.0008975626160821589
