dataset,video_id,video,video_width,video_height,video_length,track,track_length,track_length_visible,presence_ratio,occlusion_percentage,number_of_occlusions,avg_occlusion_length,max_occlusion_length,min_occlusion_length,avg_speed,number_of_abrupt_motion_changes,min_scale,max_scale,avg_scale,number_of_scale_changes,avg_scale_change
GOT,1,GOT-10k_Val_000082,1280,720,90,1,90.0,90,1.0,0.0,0,0.0,0.0,0.0,0.0073510045217887255,11,0.0008485243055555556,0.013246527777777777,0.005194275655864198,10,0.0004826242587390762
GOT,2,GOT-10k_Val_000088,640,480,101,2,101.0,101,1.0,0.0,0,0.0,0.0,0.0,0.036786767310449206,16,0.06935872395833333,0.31016927083333334,0.15061143126031354,17,0.05221715494791666
GOT,3,GOT-10k_Val_000055,1920,1080,71,3,71.0,71,1.0,0.0,0,0.0,0.0,0.0,0.012178935911464987,11,0.0005034722222222222,0.04517939814814815,0.01078220771387585,9,0.0009595940806878306
GOT,4,GOT-10k_Val_000089,1920,1080,111,4,111.0,111,1.0,0.0,0,0.0,0.0,0.0,0.008715038124018477,16,0.03778838734567901,0.07865547839506173,0.052496576437548674,14,0.003649393237934905
GOT,5,GOT-10k_Val_000041,1920,1080,100,5,100.0,100,1.0,0.0,0,0.0,0.0,0.0,0.005039625445039448,8,0.17391975308641974,0.2783347800925926,0.2159603829089506,14,0.005486042913704953
GOT,6,GOT-10k_Val_000083,1920,1080,100,6,100.0,100,1.0,0.0,0,0.0,0.0,0.0,0.011526966625153439,12,0.005773533950617284,0.033693094135802466,0.01771871624228395,12,0.0011897719478738
GOT,7,GOT-10k_Val_000047,1920,1080,70,7,70.0,70,1.0,0.0,0,0.0,0.0,0.0,0.005387536009305557,10,0.09519675925925926,0.14274064429012345,0.11362211337081128,10,0.0007807328010377526
GOT,8,GOT-10k_Val_000117,1280,720,101,8,101.0,101,1.0,0.0,0,0.0,0.0,0.0,0.0013429649502276675,14,0.09833333333333333,0.10874457465277777,0.10249594979029156,12,0.00023389756944444508
GOT,9,GOT-10k_Val_000129,1920,1080,101,9,101.0,101,1.0,0.0,0,0.0,0.0,0.0,0.011109233105573952,16,0.005804398148148148,0.10910493827160493,0.03423507498319276,12,0.0031581114969135805
GOT,10,GOT-10k_Val_000134,854,480,100,10,100.0,100,1.0,0.0,0,0.0,0.0,0.0,0.010273367995022141,11,0.06931352459016393,0.1607874707259953,0.11785489851678375,11,0.005046168160922258
GOT,11,GOT-10k_Val_000167,1920,1080,101,11,101.0,101,1.0,0.0,0,0.0,0.0,0.0,0.0025253357035029834,17,0.015362654320987655,0.03564814814814815,0.024296889324349105,13,0.0006825954861111111
GOT,12,GOT-10k_Val_000156,1280,720,281,12,281.0,281,1.0,0.0,0,0.0,0.0,0.0,0.002250977442197036,42,0.188515625,0.400859375,0.32633110990633646,39,0.0026767345610119032
GOT,13,GOT-10k_Val_000044,1280,720,90,13,90.0,90,1.0,0.0,0,0.0,0.0,0.0,0.00558068414513093,7,0.08087999131944444,0.11920355902777778,0.10022534481095678,13,0.002355003023564294
GOT,14,GOT-10k_Val_000147,1920,1080,81,14,81.0,81,1.0,0.0,0,0.0,0.0,0.0,0.00433591355303029,12,0.010302854938271605,0.012837577160493828,0.011777287189452828,11,0.0002991054205246915
GOT,15,GOT-10k_Val_000170,1280,720,91,15,91.0,91,1.0,0.0,0,0.0,0.0,0.0,0.009928202419974079,13,0.016145833333333335,0.14290690104166667,0.057886809371184365,9,0.005126060956790124
GOT,16,GOT-10k_Val_000085,1920,1080,100,16,100.0,100,1.0,0.0,0,0.0,0.0,0.0,0.00864933639958764,15,0.006616512345679012,0.02429591049382716,0.013293769290123457,12,0.00047861913892006497
GOT,17,GOT-10k_Val_000036,1920,1080,70,17,70.0,70,1.0,0.0,0,0.0,0.0,0.0,0.016521142869014557,7,0.01923900462962963,0.5466550925925926,0.2173707148368607,9,0.01572098933172303
GOT,18,GOT-10k_Val_000114,1920,1080,181,18,181.0,181,1.0,0.0,0,0.0,0.0,0.0,0.0010010254865288404,21,0.155859375,0.2981886574074074,0.22200781409862902,24,0.0015166377314814795
GOT,19,GOT-10k_Val_000166,1280,720,100,19,100.0,100,1.0,0.0,0,0.0,0.0,0.0,0.010440997740749995,13,0.09122395833333333,0.3354665798611111,0.19209874131944443,14,0.005678815060325477
GOT,20,GOT-10k_Val_000120,1920,1080,70,20,70.0,70,1.0,0.0,0,0.0,0.0,0.0,0.0056674097543578834,10,0.06623842592592592,0.2187528935185185,0.1106193576388889,9,0.002536770050545714
GOT,21,GOT-10k_Val_000037,1280,720,80,21,80.0,80,1.0,0.0,0,0.0,0.0,0.0,0.0015394938795204502,15,0.048489583333333336,0.12974392361111112,0.08320388454861112,11,0.0011374000087904365
GOT,22,GOT-10k_Val_000020,640,480,98,22,98.0,84,1.0,14.285714285714285,3,4.666666666666667,5.0,4.0,0.01020964037167188,12,0.0008463541666666667,0.0031510416666666666,0.001620861235119048,12,0.00010173506526104417
GOT,23,GOT-10k_Val_000054,1920,1080,120,23,120.0,118,1.0,1.6666666666666667,1,2.0,2.0,2.0,0.01237462629133699,12,0.062191358024691355,0.1790258487654321,0.10221249133579201,11,0.006296997005909042
GOT,24,GOT-10k_Val_000176,1920,1080,291,24,291.0,291,1.0,0.0,0,0.0,0.0,0.0,0.0070028545932617125,38,0.0019675925925925924,0.13937885802469135,0.048508545325824104,28,0.0019383347967220092
GOT,25,GOT-10k_Val_000070,1920,1080,90,25,90.0,90,1.0,0.0,0,0.0,0.0,0.0,0.028664266152981822,12,0.006520061728395062,0.12317708333333334,0.033805035793895745,12,0.004189733536204744
GOT,26,GOT-10k_Val_000136,1920,1080,121,26,121.0,121,1.0,0.0,0,0.0,0.0,0.0,0.017340156278870932,8,0.026628086419753085,0.07412905092592592,0.04633933240230588,7,0.0016626880787037033
GOT,27,GOT-10k_Val_000096,1280,720,71,27,71.0,71,1.0,0.0,0,0.0,0.0,0.0,0.022122960178007446,9,0.0041015625,0.12198567708333333,0.04627650014671361,8,0.0035318700396825397
GOT,28,GOT-10k_Val_000104,1920,1080,110,28,110.0,106,1.0,3.6363636363636362,3,1.3333333333333333,2.0,1.0,0.008681888703103841,12,0.0015885416666666667,0.005469714506172839,0.0038546125232937346,21,9.622097295708405e-05
GOT,29,GOT-10k_Val_000031,720,480,100,29,100.0,100,1.0,0.0,0,0.0,0.0,0.0,0.013227759617307442,16,0.036458333333333336,0.13684606481481482,0.07546765046296296,14,0.004329375935278714
GOT,30,GOT-10k_Val_000018,1920,1080,100,30,100.0,100,1.0,0.0,0,0.0,0.0,0.0,0.00588428859701759,14,0.01068383487654321,0.0467139274691358,0.028637692901234565,9,0.001310539811697219
GOT,31,GOT-10k_Val_000160,3840,2160,81,31,81.0,81,1.0,0.0,0,0.0,0.0,0.0,0.024186696122469348,13,0.0012411988811728396,0.31760585455246915,0.10028959744370143,14,0.011817753544560185
GOT,32,GOT-10k_Val_000161,1440,1080,80,32,80.0,80,1.0,0.0,0,0.0,0.0,0.0,0.012142336561716574,8,0.03427276234567901,0.11803497942386831,0.06730896347736626,14,0.004053367713705267
GOT,33,GOT-10k_Val_000115,1920,1080,81,33,81.0,81,1.0,0.0,0,0.0,0.0,0.0,0.015781215857433084,9,0.026234567901234566,0.07520833333333334,0.04221873928326475,12,0.001456705729166667
GOT,34,GOT-10k_Val_000043,1280,720,100,34,100.0,100,1.0,0.0,0,0.0,0.0,0.0,0.00881378835246991,13,0.14877821180555556,0.47758246527777776,0.2856253146701389,14,0.011845275673400673
