dataset,video_id,video,video_width,video_height,video_length,track,track_length,track_length_visible,presence_ratio,occlusion_percentage,number_of_occlusions,avg_occlusion_length,max_occlusion_length,min_occlusion_length,avg_speed,number_of_abrupt_motion_changes,min_scale,max_scale,avg_scale,number_of_scale_changes,avg_scale_change
GOT_TRAIN,1,GOT-10k_Train_009118,1920,1080,131,1,131.0,131,1.0,0.0,0,0.0,0.0,0.0,0.007209289436995724,16,0.022397280092592592,0.06530671296296296,0.03487006408444068,21,0.0030375489672364677
GOT_TRAIN,2,GOT-10k_Train_000893,1280,720,100,2,100.0,100,1.0,0.0,0,0.0,0.0,0.0,0.006981122207394656,11,0.039288194444444445,0.07696397569444445,0.053703385416666666,16,0.0019671761012906843
GOT_TRAIN,3,GOT-10k_Train_009051,1920,1080,201,3,201.0,201,1.0,0.0,0,0.0,0.0,0.0,0.011932057703796087,27,0.027751736111111112,0.15176311728395062,0.0602437297501689,24,0.008480512152777779
GOT_TRAIN,4,GOT-10k_Train_004742,1440,1080,301,4,301.0,301,1.0,0.0,0,0.0,0.0,0.0,0.001655550660175779,32,0.0289429012345679,0.3762744341563786,0.14393719751035644,39,0.0014142403978052132
GOT_TRAIN,5,GOT-10k_Train_008442,1280,720,81,5,81.0,81,1.0,0.0,0,0.0,0.0,0.0,0.011477710800941354,11,0.014137369791666667,0.09203776041666667,0.05497378418638545,13,0.002854899088541666
GOT_TRAIN,6,GOT-10k_Train_000787,1440,1080,100,6,100.0,100,1.0,0.0,0,0.0,0.0,0.0,0.007657662998062816,19,0.059444444444444446,0.0790380658436214,0.07101043595679013,15,0.0021615784906679975
GOT_TRAIN,7,GOT-10k_Train_001964,1920,1080,70,7,70.0,70,1.0,0.0,0,0.0,0.0,0.0,0.01460998760001971,12,0.04314477237654321,0.15925202546296297,0.07765704227292769,13,0.002737387334496332
GOT_TRAIN,8,GOT-10k_Train_008973,1280,720,320,8,320.0,320,1.0,0.0,0,0.0,0.0,0.0,0.012127149857485758,49,0.03809136284722222,0.37330729166666665,0.10822048950195313,42,0.012824126229972137
GOT_TRAIN,9,GOT-10k_Train_007667,1280,720,81,9,81.0,81,1.0,0.0,0,0.0,0.0,0.0,0.010155507700849586,15,0.009546440972222223,0.05009765625,0.027206656164266117,13,0.004701470269097223
GOT_TRAIN,10,GOT-10k_Train_006909,1280,720,120,10,120.0,112,1.0,6.666666666666667,2,4.0,7.0,1.0,0.029186798207427898,5,0.007975260416666666,0.07805555555555556,0.03236840626550099,18,0.006900640875250251
GOT_TRAIN,11,GOT-10k_Train_001779,1920,1080,100,11,100.0,100,1.0,0.0,0,0.0,0.0,0.0,0.006164075741721456,14,0.005910976080246913,0.019483506944444444,0.012156867283950617,13,0.0008341224747474746
GOT_TRAIN,12,GOT-10k_Train_002235,1920,1080,70,12,70.0,70,1.0,0.0,0,0.0,0.0,0.0,0.004768834020193983,11,0.0008805941358024692,0.015842013888888888,0.003685791446208113,6,0.0004296525541241725
GOT_TRAIN,13,GOT-10k_Train_005078,1920,1080,201,13,201.0,201,1.0,0.0,0,0.0,0.0,0.0,0.002561889539294736,26,0.07018807870370371,0.1581886574074074,0.10347676643787236,20,0.0013434823495370371
GOT_TRAIN,14,GOT-10k_Train_008914,1920,1080,251,14,251.0,251,1.0,0.0,0,0.0,0.0,0.0,0.003919539965847441,33,0.009104456018518519,0.19202690972222222,0.0794365112851065,32,0.0018452199074074074
GOT_TRAIN,15,GOT-10k_Train_007196,1280,720,260,15,260.0,260,1.0,0.0,0,0.0,0.0,0.0,0.007403455196729236,43,0.0005045572916666667,0.009223090277777778,0.0022876477363782052,31,0.0001492619851994852
GOT_TRAIN,16,GOT-10k_Train_002551,854,480,150,16,150.0,150,1.0,0.0,0,0.0,0.0,0.0,0.010664182062536815,24,0.030269320843091335,0.13668032786885245,0.055647280770231594,19,0.007649618324610073
GOT_TRAIN,17,GOT-10k_Train_005257,1920,1080,71,17,71.0,71,1.0,0.0,0,0.0,0.0,0.0,0.0015888247057192306,10,0.060500578703703706,0.48365885416666665,0.18049104231872715,10,0.006048686893738976
GOT_TRAIN,18,GOT-10k_Train_008714,1920,1080,101,18,101.0,99,1.0,1.9801980198019802,2,1.0,1.0,1.0,0.036236859119531895,16,0.0031944444444444446,0.012707368827160493,0.006803290427422372,16,0.001493818302784077
GOT_TRAIN,19,GOT-10k_Train_004170,1280,720,91,19,89.0,57,0.978021978021978,35.95505617977528,5,6.4,14.0,1.0,0.013344867714905796,4,0.0019270833333333334,0.003767361111111111,0.0031155579922027285,5,0.00017934647817460314
GOT_TRAIN,20,GOT-10k_Train_000577,1920,1080,100,20,100.0,100,1.0,0.0,0,0.0,0.0,0.0,0.006330270570269845,17,0.009641203703703704,0.03033371913580247,0.021243021797839504,12,0.0012113320707070707
GOT_TRAIN,21,GOT-10k_Train_000039,1920,1080,140,21,140.0,140,1.0,0.0,0,0.0,0.0,0.0,0.008885905017197838,20,0.08411458333333334,0.3524093364197531,0.167170311122134,20,0.0034665600852651223
GOT_TRAIN,22,GOT-10k_Train_000925,1920,1080,70,22,70.0,70,1.0,0.0,0,0.0,0.0,0.0,0.002222913298855404,10,0.02738425925925926,0.04169753086419753,0.035379057815255736,9,0.0006222183082841288
GOT_TRAIN,23,GOT-10k_Train_002122,1920,1080,190,23,190.0,190,1.0,0.0,0,0.0,0.0,0.0,0.003209862259447719,25,0.008229166666666666,0.04142891589506173,0.01999130167722547,22,0.001405328871088902
GOT_TRAIN,24,GOT-10k_Train_005425,1280,720,301,24,301.0,301,1.0,0.0,0,0.0,0.0,0.0,0.010993033851580979,40,0.43402994791666666,0.666015625,0.567086610170958,27,0.005359856047453702
GOT_TRAIN,25,GOT-10k_Train_007176,1920,1080,101,25,101.0,101,1.0,0.0,0,0.0,0.0,0.0,0.006481961127017415,14,0.07511574074074075,0.15839120370370371,0.11220323768487958,19,0.005832137345679013
GOT_TRAIN,26,GOT-10k_Train_000737,1920,1080,100,26,100.0,100,1.0,0.0,0,0.0,0.0,0.0,0.013296279160888672,11,0.17129774305555556,0.36925925925925923,0.2672205536265432,15,0.011959462487529613
GOT_TRAIN,27,GOT-10k_Train_006563,1920,1080,111,27,111.0,111,1.0,0.0,0,0.0,0.0,0.0,0.0025284099614667852,18,0.0035416666666666665,0.005729166666666666,0.0042559877585919255,17,8.943164281705947e-05
GOT_TRAIN,28,GOT-10k_Train_004289,1280,720,281,28,281.0,281,1.0,0.0,0,0.0,0.0,0.0,0.03765452649598979,48,0.023129340277777778,0.03896484375,0.029205385496984974,53,0.0016008920820932539
GOT_TRAIN,29,GOT-10k_Train_001507,1280,720,80,29,78.0,78,0.975,0.0,0,0.0,0.0,0.0,0.018668754443404316,14,0.09540690104166667,0.38393446180555557,0.25146972656250005,13,0.014730381380772005
GOT_TRAIN,30,GOT-10k_Train_008304,480,480,81,30,81.0,81,1.0,0.0,0,0.0,0.0,0.0,0.029043009726419385,13,0.0141015625,0.307734375,0.07346809627914952,12,0.014135579427083333
GOT_TRAIN,32,GOT-10k_Train_005837,1280,720,141,32,141.0,141,1.0,0.0,0,0.0,0.0,0.0,0.0033213627055635633,20,0.019782986111111112,0.14285047743055557,0.05756666635884555,17,0.001103631882440476
GOT_TRAIN,33,GOT-10k_Train_002269,1920,1080,90,33,90.0,79,1.0,12.222222222222221,1,11.0,11.0,11.0,0.015353879144809346,13,0.012017746913580247,0.2136574074074074,0.07213743724605408,12,0.011995588002532448
GOT_TRAIN,34,GOT-10k_Train_007001,1920,1080,91,34,91.0,91,1.0,0.0,0,0.0,0.0,0.0,0.005014066451795218,8,0.012567997685185186,0.028445698302469135,0.017906841422466423,13,0.000622454775377229
GOT_TRAIN,35,GOT-10k_Train_007151,1920,1080,101,35,101.0,101,1.0,0.0,0,0.0,0.0,0.0,0.017408501133872198,13,0.19629774305555556,0.46423177083333333,0.30903923248227605,15,0.03848712384259259
GOT_TRAIN,36,GOT-10k_Train_002116,854,470,100,36,100.0,100,1.0,0.0,0,0.0,0.0,0.0,0.004021581246321795,13,0.0036872788878369624,0.01907419403059445,0.008196098460311923,9,0.0011913192415459596
GOT_TRAIN,37,GOT-10k_Train_006809,1280,720,101,37,101.0,101,1.0,0.0,0,0.0,0.0,0.0,0.013238727377558459,11,0.024516059027777776,0.15546440972222222,0.06159514877268978,16,0.004272569444444444
GOT_TRAIN,38,GOT-10k_Train_003912,1920,1080,100,38,100.0,100,1.0,0.0,0,0.0,0.0,0.0,0.007638584297881367,19,0.011707175925925926,0.18744791666666666,0.05702343750000001,9,0.005473479977241552
GOT_TRAIN,39,GOT-10k_Train_005520,1280,720,89,39,89.0,89,1.0,0.0,0,0.0,0.0,0.0,0.01368518096036982,12,0.04707465277777778,0.48548828125,0.19550751989700377,10,0.008932316327335857
GOT_TRAIN,40,GOT-10k_Train_006437,1280,720,101,40,101.0,101,1.0,0.0,0,0.0,0.0,0.0,0.013451321559756186,13,0.0086328125,0.022569444444444444,0.014764002767464243,15,0.0026022460937500003
GOT_TRAIN,41,GOT-10k_Train_008635,1280,720,91,41,91.0,91,1.0,0.0,0,0.0,0.0,0.0,0.03272626306315255,10,0.07771809895833333,0.9013671875,0.39286712311126365,14,0.04490470679012347
GOT_TRAIN,42,GOT-10k_Train_008141,810,1440,101,42,101.0,101,1.0,0.0,0,0.0,0.0,0.0,0.018043220402447,8,0.017531721536351165,0.23638545953360768,0.06647691466677531,8,0.008960836762688612
GOT_TRAIN,43,GOT-10k_Train_008207,480,480,101,43,101.0,101,1.0,0.0,0,0.0,0.0,0.0,0.004955435443362032,17,0.002916666666666667,0.05956597222222222,0.01772969093784378,8,0.0009759548611111111
GOT_TRAIN,44,GOT-10k_Train_008702,1280,720,221,44,221.0,214,1.0,3.167420814479638,5,1.4,2.0,1.0,0.021127322692328757,28,0.0020909288194444443,0.051253255208333334,0.010482830550687954,19,0.0021110662819509647
GOT_TRAIN,45,GOT-10k_Train_000049,1280,720,70,45,70.0,70,1.0,0.0,0,0.0,0.0,0.0,0.009636436258847927,9,0.09956597222222222,0.2639507378472222,0.17435270957341273,10,0.006324036332528181
GOT_TRAIN,46,GOT-10k_Train_003408,1280,720,101,46,101.0,101,1.0,0.0,0,0.0,0.0,0.0,0.003995878518155613,12,0.058541666666666665,0.16928059895833333,0.11014885863586361,13,0.0024822157118055553
GOT_TRAIN,47,GOT-10k_Train_003488,1280,720,100,47,100.0,100,1.0,0.0,0,0.0,0.0,0.0,0.01097683803268204,11,0.08544921875,0.24881401909722223,0.14131993272569446,13,0.009194670226571269
GOT_TRAIN,48,GOT-10k_Train_006029,1280,720,401,48,401.0,401,1.0,0.0,0,0.0,0.0,0.0,0.011544426341494522,58,0.041552734375,0.14723741319444444,0.08199694989955666,62,0.0056688802083333335
GOT_TRAIN,49,GOT-10k_Train_004994,1280,720,281,49,281.0,281,1.0,0.0,0,0.0,0.0,0.0,0.00739036274862518,33,0.15914930555555556,0.6455967881944444,0.32901276829403914,40,0.005069095672123016
GOT_TRAIN,50,GOT-10k_Train_000714,1920,1080,90,50,90.0,90,1.0,0.0,0,0.0,0.0,0.0,0.004380168416694702,11,0.036863425925925924,0.08166184413580246,0.057741062242798354,16,0.002432278662089056
GOT_TRAIN,51,GOT-10k_Train_008800,1920,1080,100,51,100.0,100,1.0,0.0,0,0.0,0.0,0.0,0.007797784700623817,15,0.035494791666666664,0.19247251157407408,0.09756175250771605,20,0.002325136979361516
GOT_TRAIN,52,GOT-10k_Train_003176,1920,1080,80,52,80.0,80,1.0,0.0,0,0.0,0.0,0.0,0.00510506771979649,15,0.009027777777777777,0.025104166666666667,0.01405082947530864,13,0.0005290011134552275
GOT_TRAIN,53,GOT-10k_Train_006476,1280,720,140,53,72.0,70,0.5142857142857142,2.7777777777777777,1,2.0,2.0,2.0,0.008157708278236307,9,0.0010785590277777777,0.007526041666666667,0.0033042224702380953,9,0.0005032992401368759
GOT_TRAIN,54,GOT-10k_Train_009153,642,480,231,54,231.0,231,1.0,0.0,0,0.0,0.0,0.0,0.004547658182603728,15,0.01290238836967809,0.1625064901349948,0.056980364953495795,35,0.002747316470269538
GOT_TRAIN,55,GOT-10k_Train_002170,1280,720,200,55,200.0,200,1.0,0.0,0,0.0,0.0,0.0,0.0022276406855154503,25,0.016080729166666665,0.035874565972222223,0.025146717664930554,27,0.0011272181218592965
GOT_TRAIN,56,GOT-10k_Train_004213,1920,1080,257,56,257.0,250,1.0,2.7237354085603114,4,1.75,3.0,1.0,0.04818147430058822,32,0.008336226851851852,0.03297164351851852,0.02270747685185185,28,0.00166879129171005
GOT_TRAIN,57,GOT-10k_Train_006224,1280,720,410,57,410.0,410,1.0,0.0,0,0.0,0.0,0.0,0.011232013244193598,50,0.01673611111111111,0.09630208333333333,0.04660901772103659,50,0.004507113174069546
GOT_TRAIN,58,GOT-10k_Train_002345,854,480,270,58,270.0,270,1.0,0.0,0,0.0,0.0,0.0,0.012339709351206297,37,0.03616315378610461,0.11522248243559718,0.07940273802295661,41,0.004265144490973304
GOT_TRAIN,59,GOT-10k_Train_005273,1920,1080,120,59,120.0,120,1.0,0.0,0,0.0,0.0,0.0,0.0020492402072070964,21,0.06637876157407407,0.16271894290123456,0.10968866946373458,16,0.0017438798436041087
GOT_TRAIN,60,GOT-10k_Train_004212,1920,1080,90,60,90.0,90,1.0,0.0,0,0.0,0.0,0.0,0.02242343796416443,12,0.002387152777777778,0.003525270061728395,0.0028797796639231828,12,7.606594187820779e-05
GOT_TRAIN,61,GOT-10k_Train_009247,1920,1080,271,61,271.0,271,1.0,0.0,0,0.0,0.0,0.0,0.007784919750005638,24,0.005107542438271605,0.2967505787037037,0.05414860442007197,27,0.0027311421181984447
GOT_TRAIN,62,GOT-10k_Train_005604,1280,720,70,62,70.0,70,1.0,0.0,0,0.0,0.0,0.0,0.003081516548784223,8,0.6013454861111112,0.6618782552083333,0.6345193917410715,7,0.0036303121225845377
GOT_TRAIN,63,GOT-10k_Train_003235,1920,1080,100,63,100.0,100,1.0,0.0,0,0.0,0.0,0.0,0.01863115823038676,10,0.33488425925925924,0.5346981095679012,0.45081037808641966,16,0.015467200944631505
GOT_TRAIN,64,GOT-10k_Train_005447,1920,1080,101,64,101.0,101,1.0,0.0,0,0.0,0.0,0.0,0.0004419918576617338,19,0.35691358024691355,0.41411265432098765,0.3860888940456546,12,0.0006624373070987671
GOT_TRAIN,65,GOT-10k_Train_007784,1920,1080,250,65,250.0,250,1.0,0.0,0,0.0,0.0,0.0,0.008053668038040704,38,0.0007233796296296296,0.001421682098765432,0.0010214043209876543,35,2.6527793271852844e-05
GOT_TRAIN,66,GOT-10k_Train_008254,1280,720,81,66,81.0,81,1.0,0.0,0,0.0,0.0,0.0,0.00872225965037408,15,0.004567057291666667,0.011750217013888889,0.007363442001028807,14,0.0007053629557291668
GOT_TRAIN,67,GOT-10k_Train_005177,1920,1080,91,67,91.0,91,1.0,0.0,0,0.0,0.0,0.0,0.0022815748895758836,12,0.03582947530864197,0.10515625,0.05030434939289107,10,0.0008481224279835394
GOT_TRAIN,68,GOT-10k_Train_007256,1920,1080,101,68,101.0,101,1.0,0.0,0,0.0,0.0,0.0,0.008069525112447469,11,0.1646923225308642,0.46454764660493825,0.28390885703153645,14,0.017525766782407404
GOT_TRAIN,69,GOT-10k_Train_007372,1920,1080,93,69,93.0,91,1.0,2.1505376344086025,2,1.0,1.0,1.0,0.017311484674744568,7,0.054822530864197534,0.3134809027777778,0.13977481430606428,15,0.014973304612482854
GOT_TRAIN,70,GOT-10k_Train_001176,1920,1080,80,70,80.0,80,1.0,0.0,0,0.0,0.0,0.0,0.0024169520967891375,13,0.013627507716049383,0.014175347222222223,0.013778055073302469,5,2.388678895139862e-05
GOT_TRAIN,71,GOT-10k_Train_004218,1920,1080,91,71,91.0,91,1.0,0.0,0,0.0,0.0,0.0,0.012932053527935751,17,0.0007899305555555555,0.0010850694444444445,0.0009180402930402934,7,6.799768518518519e-06
GOT_TRAIN,72,GOT-10k_Train_004107,1920,1080,250,72,250.0,250,1.0,0.0,0,0.0,0.0,0.0,0.013950888119478495,39,0.001154513888888889,0.014985050154320988,0.00497829861111111,35,0.0001994436077643909
GOT_TRAIN,73,GOT-10k_Train_006055,1920,1080,401,73,401.0,401,1.0,0.0,0,0.0,0.0,0.0,0.012354969050985449,62,0.03703993055555556,0.14774305555555556,0.06241254262107078,60,0.0063392336998456785
GOT_TRAIN,74,GOT-10k_Train_006149,1920,1080,201,74,201.0,184,1.0,8.45771144278607,1,17.0,17.0,17.0,0.012458778326068834,27,0.026995081018518517,0.10768036265432099,0.05402431551513017,24,0.014986417855697227
GOT_TRAIN,75,GOT-10k_Train_002509,1280,720,150,75,150.0,150,1.0,0.0,0,0.0,0.0,0.0,0.00804595437065169,24,0.010546875,0.03637586805555556,0.022494921875,20,0.0010712766825130501
GOT_TRAIN,76,GOT-10k_Train_004663,854,480,130,76,130.0,126,1.0,3.076923076923077,1,4.0,4.0,4.0,0.0055796487622049185,17,0.002971311475409836,0.2638905152224824,0.06102311484703169,22,0.004126893052302888
