dataset,video_id,video,video_width,video_height,video_length,track,track_length,track_length_visible,presence_ratio,occlusion_percentage,number_of_occlusions,avg_occlusion_length,max_occlusion_length,min_occlusion_length,avg_speed,number_of_abrupt_motion_changes,min_scale,max_scale,avg_scale,number_of_scale_changes,avg_scale_change
LASOT,1,airplane-1,640,360,2788,1,2788.0,2788,1.0,0.0,0,0.0,0.0,0.0,0.0028995088250274408,372,0.0028472222222222223,0.27499131944444444,0.12228137173949864,395,0.0010081840788581907
LASOT,2,airplane-9,1280,720,7971,2,7971.0,7971,1.0,0.0,0,0.0,0.0,0.0,0.005215144681715613,857,0.00037109375,0.07380099826388889,0.010868348773418223,536,0.00035101574480691486
LASOT,3,airplane-13,1280,720,2971,3,2971.0,2971,1.0,0.0,0,0.0,0.0,0.0,0.0038204663982905145,89,1.0850694444444444e-06,0.038736979166666664,0.003974914699151988,111,0.0001729472824307894
LASOT,4,airplane-15,480,360,4500,4,4500.0,4458,1.0,0.9333333333333335,1,42.0,42.0,42.0,0.007813405224659913,110,0.0005555555555555556,0.027604166666666666,0.00550564398376618,522,0.00021390613184420676
LASOT,5,basketball-1,640,360,1088,5,1088.0,1085,1.0,0.2757352941176471,1,3.0,3.0,3.0,0.004138698343366578,82,0.0004861111111111111,0.0036458333333333334,0.0022880344342037892,133,0.00013545350297252973
LASOT,6,basketball-6,1280,720,1794,6,1794.0,1726,1.0,3.79041248606466,10,6.8,17.0,1.0,0.006757072391795157,91,0.0006423611111111111,0.006600477430555555,0.003747946792117291,179,0.0001691142059178744
LASOT,7,basketball-7,480,360,2101,7,2101.0,2067,1.0,1.618277010947168,3,11.333333333333334,13.0,9.0,0.0047861284478000745,98,0.009693287037037037,0.138125,0.04240118361285815,87,0.001149824876304184
LASOT,8,basketball-11,1280,720,1851,8,1851.0,1792,1.0,3.1874662344678555,26,2.269230769230769,8.0,1.0,0.01319769874925892,78,0.00015516493055555555,0.009893663194444444,0.004786416916620164,131,0.00029267249150846826
LASOT,9,bear-2,1280,720,6800,9,6800.0,6800,1.0,0.0,0,0.0,0.0,0.0,0.003241060908715078,532,0.0511328125,0.7818739149305556,0.46443364608864385,589,0.004371133073593339
LASOT,10,bear-4,1280,720,1974,10,1974.0,1974,1.0,0.0,0,0.0,0.0,0.0,0.0015317212098832575,208,0.017903645833333332,0.077109375,0.045972620740635205,187,0.0006700218575772934
LASOT,11,bear-6,1280,720,1671,11,1671.0,1670,1.0,0.059844404548174746,1,1.0,1.0,1.0,0.01048137709075421,220,0.0028472222222222223,0.055107421875,0.025241604681262474,161,0.0005155698688502762
LASOT,12,bear-17,480,360,2413,12,2413.0,2413,1.0,0.0,0,0.0,0.0,0.0,0.0031773140147420514,202,0.02980324074074074,0.11155092592592593,0.08492253812297586,298,0.0010280028292181068
LASOT,13,bicycle-2,480,360,2181,13,2181.0,2146,1.0,1.6047684548372305,2,17.5,27.0,8.0,0.0054773562101062085,153,0.0013194444444444445,0.13725694444444445,0.036265414121017574,211,0.0013285742035742034
LASOT,14,bicycle-7,1280,720,2461,14,2461.0,2461,1.0,0.0,0,0.0,0.0,0.0,0.0027170160013603893,165,0.003363715277777778,0.29169596354166666,0.09813531940282293,143,0.0024560282223915994
LASOT,15,bicycle-9,1280,720,3001,15,3001.0,2867,1.0,4.465178273908697,6,22.333333333333332,64.0,1.0,0.002784581257396658,147,0.0001974826388888889,0.066875,0.012030695921985815,132,0.00034641201684500276
LASOT,16,bicycle-18,1280,720,1355,16,1355.0,1276,1.0,5.830258302583026,3,26.333333333333332,58.0,9.0,0.006852226104808015,15,0.00038736979166666667,0.09341688368055556,0.03161669054499738,169,0.0012633510348583877
LASOT,17,bird-2,480,360,4101,17,4101.0,4099,1.0,0.0487685930260912,1,2.0,2.0,2.0,0.0023401045412701762,465,0.007222222222222222,0.08320601851851851,0.03414597366792262,463,0.000638186762286933
LASOT,18,bird-3,1280,720,2311,18,2311.0,2311,1.0,0.0,0,0.0,0.0,0.0,0.00516039025053893,201,0.004716796875,0.16288411458333332,0.04367847227856507,160,0.0019775446992243866
LASOT,19,bird-15,480,360,1575,19,1575.0,1575,1.0,0.0,0,0.0,0.0,0.0,0.006645627906595104,168,0.004774305555555556,0.20535300925925926,0.03598777557319224,107,0.0018132250341192525
LASOT,20,bird-17,1280,720,5000,20,5000.0,5000,1.0,0.0,0,0.0,0.0,0.0,0.0053620390521420865,425,0.0272265625,0.5529134114583333,0.23258392686631943,489,0.00593139222462548
LASOT,21,boat-3,1280,720,5400,21,5400.0,5400,1.0,0.0,0,0.0,0.0,0.0,0.004346888602619172,566,0.007725694444444445,0.5199175347222222,0.15248945171842848,409,0.0010697369851155566
LASOT,22,boat-4,1280,720,2251,22,2251.0,2251,1.0,0.0,0,0.0,0.0,0.0,0.0013267678167741548,285,0.00828125,0.44609375,0.09923249196344834,230,0.0009774426118827162
LASOT,23,boat-12,1280,720,1860,23,1860.0,1860,1.0,0.0,0,0.0,0.0,0.0,0.0011622459764244347,84,0.001072048611111111,0.4524956597222222,0.19752732508213858,81,0.0013605060637813047
LASOT,24,boat-17,1280,720,1761,24,1761.0,1761,1.0,0.0,0,0.0,0.0,0.0,0.0022030360547623216,213,0.003779296875,0.478720703125,0.04845725245382201,86,0.0007444328539299241
