dataset,video_id,video,video_width,video_height,video_length,track,track_length,track_length_visible,presence_ratio,occlusion_percentage,number_of_occlusions,avg_occlusion_length,max_occlusion_length,min_occlusion_length,avg_speed,number_of_abrupt_motion_changes,min_scale,max_scale,avg_scale,number_of_scale_changes,avg_scale_change
LASOT_TRAIN,1,airplane-10,1280,720,1568,1,1568.0,1568,1.0,0.0,0,0.0,0.0,0.0,0.002336863121057587,206,0.0040625,0.5135883246527778,0.07816865951295883,146,0.001305537967320783
LASOT_TRAIN,2,airplane-11,1280,720,5016,2,5016.0,5016,1.0,0.0,0,0.0,0.0,0.0,0.0022463834097604003,391,0.003999565972222222,0.023012152777777777,0.01598752157159589,850,0.00028402141665281937
LASOT_TRAIN,3,airplane-12,1280,720,2660,3,2660.0,2660,1.0,0.0,0,0.0,0.0,0.0,0.0035503873267582514,348,0.004494357638888889,0.4852734375,0.06763888644136383,103,0.001087676630860599
LASOT_TRAIN,4,airplane-14,1280,720,2821,4,2821.0,2817,1.0,0.14179369018078697,2,2.0,3.0,1.0,0.003219760710016295,42,0.002924262152777778,0.16963107638888889,0.03687919814408058,64,0.0007257372923571654
LASOT_TRAIN,5,airplane-16,1280,720,11397,5,11397.0,11397,1.0,0.0,0,0.0,0.0,0.0,0.0027176074488319112,1317,0.0005902777777777778,0.10345486111111112,0.011328238581455404,703,0.00018852795952405328
LASOT_TRAIN,6,airplane-17,480,360,2401,6,2401.0,2401,1.0,0.0,0,0.0,0.0,0.0,0.006835200923695866,313,0.00028356481481481483,0.11476851851851852,0.009842552100205163,206,0.00047981288580246917
LASOT_TRAIN,7,airplane-18,400,240,1381,7,1381.0,1377,1.0,0.2896451846488052,1,4.0,4.0,4.0,0.004933489914170601,55,0.00446875,0.15725,0.06151272391672719,155,0.0012069328367248064
LASOT_TRAIN,8,airplane-19,320,240,1901,8,1901.0,1901,1.0,0.0,0,0.0,0.0,0.0,0.004735628821815126,216,0.0019921875,0.2579296875,0.055077172924338065,214,0.0021526932565789476
LASOT_TRAIN,9,airplane-2,1280,720,8301,9,8301.0,8131,1.0,2.047946030598723,2,85.0,121.0,49.0,0.0031788589032616206,98,0.000107421875,0.5569270833333333,0.1351255104136774,915,0.001171223024079199
LASOT_TRAIN,10,airplane-20,1280,720,5951,10,5951.0,5951,1.0,0.0,0,0.0,0.0,0.0,0.0028608910317538846,742,0.001540798611111111,0.401015625,0.09650533757164997,680,0.001017602014764239
LASOT_TRAIN,11,airplane-3,1280,720,2040,11,2040.0,2040,1.0,0.0,0,0.0,0.0,0.0,0.002264811109411179,213,0.021220703125,0.19240451388888888,0.09623457392939815,194,0.00128064429816495
LASOT_TRAIN,12,airplane-4,1280,720,5141,12,5141.0,5121,1.0,0.3890293717175647,2,10.0,15.0,5.0,0.007201019589305557,486,0.002267795138888889,0.24339735243055555,0.04169251954269186,452,0.000912774403889974
LASOT_TRAIN,13,airplane-5,1280,720,5923,13,5923.0,5923,1.0,0.0,0,0.0,0.0,0.0,0.004147430764599976,586,0.005482855902777778,0.09375,0.03190208057073883,699,0.0006702180062455439
LASOT_TRAIN,14,airplane-6,406,720,1101,14,1101.0,1101,1.0,0.0,0,0.0,0.0,0.0,0.002312299616331113,148,0.00017104542966611932,0.003373015873015873,0.0017503804323779897,155,9.577300094541473e-05
LASOT_TRAIN,15,airplane-7,640,360,2888,15,2888.0,2888,1.0,0.0,0,0.0,0.0,0.0,0.0006444852333804512,461,0.004978298611111111,0.08234375,0.011752352586853646,199,6.622118308124542e-05
LASOT_TRAIN,16,airplane-8,1280,720,7201,16,7201.0,7201,1.0,0.0,0,0.0,0.0,0.0,0.002896278348540345,870,0.000537109375,0.12708333333333333,0.038321086559399545,737,0.0006922562210648148
LASOT_TRAIN,17,basketball-10,640,360,1911,17,1911.0,1785,1.0,6.593406593406594,10,12.6,25.0,4.0,0.011407766070573195,57,0.0003125,0.1283637152777778,0.028800147836912548,95,0.0015082367962132536
LASOT_TRAIN,18,basketball-12,1280,720,1861,18,1861.0,1796,1.0,3.492745835572273,15,4.333333333333333,9.0,1.0,0.013250292111331236,204,0.0004893663194444444,0.034954427083333336,0.009650301934468572,153,0.00038899769808108944
LASOT_TRAIN,19,basketball-13,540,360,2640,19,2640.0,1864,1.0,29.393939393939394,82,9.463414634146341,144.0,1.0,0.006847730927013808,138,0.0004938271604938272,0.0022479423868312755,0.0011135368648333597,251,9.80431137883276e-05
LASOT_TRAIN,20,basketball-14,1280,720,1929,20,1929.0,1883,1.0,2.3846552617936756,10,4.6,16.0,1.0,0.007718723103216571,147,0.00016493055555555556,0.025052083333333332,0.007745802515747626,141,0.0003947496476118786
LASOT_TRAIN,21,basketball-15,1280,720,2147,21,2147.0,2079,1.0,3.1672100605496043,14,4.857142857142857,29.0,1.0,0.007984903827047909,100,0.00013020833333333333,0.005016276041666667,0.002649528206168831,151,0.00012473807948347769
LASOT_TRAIN,22,basketball-16,1280,720,1885,22,1885.0,1816,1.0,3.6604774535809024,26,2.6538461538461537,8.0,1.0,0.008821351581479961,75,0.00025390625,0.004870876736111111,0.0025360845340797844,191,0.00018092382154882153
LASOT_TRAIN,23,basketball-17,1280,720,1800,23,1800.0,1597,1.0,11.277777777777779,17,11.941176470588236,28.0,1.0,0.008152304488795385,173,0.00037109375,0.0018196614583333333,0.0008611435884557851,164,2.4045574004455584e-05
LASOT_TRAIN,24,basketball-18,1280,720,2601,24,2601.0,2432,1.0,6.4975009611687815,22,7.681818181818182,52.0,1.0,0.0089242198659881,55,0.0004654947916666667,0.05130859375,0.012098436411361248,228,0.0005582032856849033
LASOT_TRAIN,25,basketball-19,636,360,1194,25,1194.0,1064,1.0,10.887772194304858,25,5.2,22.0,1.0,0.014337552566655948,95,0.00039308176100628933,0.007887840670859538,0.002633183949128587,108,0.0002795165903758531
LASOT_TRAIN,26,basketball-2,1280,720,2081,26,2081.0,2026,1.0,2.6429601153291684,13,4.230769230769231,12.0,1.0,0.008095644961828788,226,0.0014127604166666668,0.008211805555555556,0.0038171682622436106,221,0.00011162819358710561
LASOT_TRAIN,27,basketball-20,1280,720,4500,27,4500.0,4355,1.0,3.2222222222222223,20,7.25,38.0,1.0,0.005540904785608083,139,0.00018229166666666667,0.03211805555555555,0.006779135422646384,281,0.0002111726066866993
LASOT_TRAIN,28,basketball-3,1280,720,3374,28,3374.0,3374,1.0,0.0,0,0.0,0.0,0.0,0.008265673957524476,346,0.0006510416666666666,0.004027777777777778,0.002803077840965224,372,9.145819693563264e-05
LASOT_TRAIN,29,basketball-4,1280,720,1756,29,1756.0,1421,1.0,19.07744874715262,39,8.58974358974359,68.0,1.0,0.01489546214085887,128,0.0003363715277777778,0.030130208333333332,0.004577542223786066,92,0.0003765045786874022
LASOT_TRAIN,30,basketball-5,1280,720,1010,30,1010.0,785,1.0,22.277227722772277,15,15.0,73.0,2.0,0.010075155602509862,33,0.00024305555555555555,0.002712673611111111,0.0008559580679405521,67,7.534589356575963e-05
LASOT_TRAIN,31,basketball-8,320,240,3321,31,3321.0,3299,1.0,0.662451068955134,13,1.6923076923076923,4.0,1.0,0.01948746866418268,170,0.002916666666666667,0.024479166666666666,0.01235880743533394,345,0.000584500391651506
LASOT_TRAIN,32,basketball-9,480,360,6841,32,6841.0,6832,1.0,0.13155971349217951,8,1.125,2.0,1.0,0.013510871839454845,763,0.0010127314814814814,0.009953703703703704,0.0067475538926294555,659,0.00031012537478922344
LASOT_TRAIN,33,bear-1,1280,720,1266,33,1266.0,1266,1.0,0.0,0,0.0,0.0,0.0,0.0015913874267925246,33,0.013802083333333333,0.3594292534722222,0.06581378494163595,27,0.0009234395586297759
LASOT_TRAIN,34,bear-10,1280,720,1335,34,1335.0,1335,1.0,0.0,0,0.0,0.0,0.0,0.0012119933031987291,103,0.001955295138888889,0.00779296875,0.004490260384155223,167,0.00013068091605239045
LASOT_TRAIN,35,bear-11,320,240,1727,35,1727.0,1727,1.0,0.0,0,0.0,0.0,0.0,0.006092824740810802,196,0.04010416666666667,0.18819010416666668,0.09512805955655279,244,0.0013555924705484744
LASOT_TRAIN,36,bear-12,1280,720,1375,36,1375.0,1375,1.0,0.0,0,0.0,0.0,0.0,0.005680119442726892,113,0.0099609375,0.235703125,0.1084699376578283,125,0.0018900930474688665
LASOT_TRAIN,37,bear-13,1280,720,1821,37,1821.0,1821,1.0,0.0,0,0.0,0.0,0.0,0.0029861623368504535,170,0.01072265625,0.0390234375,0.024834700008389776,184,0.00037452900831807075
LASOT_TRAIN,38,bear-14,640,360,4681,38,4681.0,4681,1.0,0.0,0,0.0,0.0,0.0,0.001942164322728931,454,0.021510416666666667,0.3472222222222222,0.09325619303211564,431,0.0012327167913105414
LASOT_TRAIN,39,bear-15,1280,720,3465,39,3465.0,3464,1.0,0.02886002886002886,1,1.0,1.0,1.0,0.001620020795736076,103,0.0003515625,0.12731553819444444,0.05439817143245205,290,0.0006746017422273559
