dataset,video_id,video,video_width,video_height,video_length,track,track_length,track_length_visible,presence_ratio,occlusion_percentage,number_of_occlusions,avg_occlusion_length,max_occlusion_length,min_occlusion_length,avg_speed,number_of_abrupt_motion_changes,min_scale,max_scale,avg_scale,number_of_scale_changes,avg_scale_change
OVTB,0,AnimalTrack/chicken_1,2560,1440,306,0,108.0,108,0.35294117647058826,0.0,0,0.0,0.0,0.0,0.0005287531210077528,6,0.005029296875,0.00743408203125,0.0068216482405799896,5,2.997124058930425e-05
OVTB,0,AnimalTrack/chicken_1,2560,1440,306,1,177.0,177,0.5784313725490197,0.0,0,0.0,0.0,0.0,8.860421402986219e-05,40,0.010283203125,0.01065646701388889,0.010522670901502669,29,8.390792692550515e-06
OVTB,0,AnimalTrack/chicken_1,2560,1440,306,2,306.0,306,1.0,0.0,0,0.0,0.0,0.0,0.0004476011039047114,38,0.016541612413194445,0.02903076171875,0.02133494746278141,29,0.00013853757542122035
OVTB,0,AnimalTrack/chicken_1,2560,1440,306,3,306.0,304,1.0,0.6535947712418301,2,1.0,1.0,1.0,0.0008321723811186616,38,0.026354166666666668,0.10750434027777778,0.03809398004186084,26,0.0004698064207462411
OVTB,0,AnimalTrack/chicken_1,2560,1440,306,4,306.0,303,1.0,0.9803921568627451,1,3.0,3.0,3.0,0.0014769525900383527,19,0.005718315972222222,0.028968641493055555,0.011667825148400257,19,0.0002375502653030721
OVTB,0,AnimalTrack/chicken_1,2560,1440,306,5,306.0,306,1.0,0.0,0,0.0,0.0,0.0,0.0024560458747217456,34,0.0627880859375,0.20578776041666666,0.10597146958826935,31,0.0015643455074567394
OVTB,0,AnimalTrack/chicken_1,2560,1440,306,6,306.0,147,1.0,51.9607843137255,1,159.0,159.0,159.0,0.0024496081904959977,13,0.008006727430555555,0.058014322916666666,0.02954058750236206,16,0.0007316247948772831
OVTB,0,AnimalTrack/chicken_1,2560,1440,306,7,257.0,195,0.8398692810457516,24.124513618677042,1,62.0,62.0,62.0,0.00020468684642614956,5,0.004177517361111111,0.007936197916666667,0.0049056003494480065,1,3.255208333333334e-05
OVTB,0,AnimalTrack/chicken_1,2560,1440,306,8,201.0,201,0.6568627450980392,0.0,0,0.0,0.0,0.0,0.0015402804348015236,14,0.007454969618055555,0.026363932291666666,0.013619029148960059,19,0.00023421223958333334
OVTB,0,AnimalTrack/chicken_1,2560,1440,306,9,306.0,306,1.0,0.0,0,0.0,0.0,0.0,0.0005526960919800863,28,0.025446234809027777,0.04060546875,0.034327030888310184,26,0.0002477800546448088
OVTB,0,AnimalTrack/chicken_1,2560,1440,306,10,257.0,214,0.8398692810457516,16.731517509727624,2,21.5,37.0,6.0,0.0007144499964969527,16,0.007009548611111111,0.01239013671875,0.008735014379705346,16,0.00014484912949921756
OVTB,0,AnimalTrack/chicken_1,2560,1440,306,11,181.0,168,0.5915032679738562,7.18232044198895,2,6.5,7.0,6.0,0.0011682506346084405,9,0.006278754340277777,0.014322916666666666,0.008614577843398644,12,0.00014437271290751832
OVTB,0,AnimalTrack/chicken_1,2560,1440,306,12,306.0,306,1.0,0.0,0,0.0,0.0,0.0,0.004541278834689772,31,0.024169921875,0.22064100477430557,0.12721751050318852,23,0.0034112937941142983
