dataset,video_id,video,video_width,video_height,video_length,track,track_length,track_length_visible,presence_ratio,occlusion_percentage,number_of_occlusions,avg_occlusion_length,max_occlusion_length,min_occlusion_length,avg_speed,number_of_abrupt_motion_changes,min_scale,max_scale,avg_scale,number_of_scale_changes,avg_scale_change
SPORTSMOT,1,v_5ekaksddqrc_c004,1280,720,824,1,824.0,824,1.0,0.0,0,0.0,0.0,0.0,0.0035619824311785425,124,0.005048828125,0.03651475694444444,0.018949648827282225,129,0.0013224728824929117
SPORTSMOT,1,v_5ekaksddqrc_c004,1280,720,824,2,824.0,824,1.0,0.0,0,0.0,0.0,0.0,0.0035327450307123466,108,0.005889756944444445,0.0305859375,0.013662197602733954,123,0.0011314624257459161
SPORTSMOT,1,v_5ekaksddqrc_c004,1280,720,824,4,824.0,824,1.0,0.0,0,0.0,0.0,0.0,0.004029424870026416,105,0.005,0.030924479166666668,0.014575891916548678,109,0.0011153722829755637
SPORTSMOT,1,v_5ekaksddqrc_c004,1280,720,824,6,824.0,824,1.0,0.0,0,0.0,0.0,0.0,0.003382343770485419,113,0.0036805555555555554,0.027890625,0.01212302264529396,116,0.000831819773525044
SPORTSMOT,1,v_5ekaksddqrc_c004,1280,720,824,7,824.0,735,1.0,10.800970873786406,1,89.0,89.0,89.0,0.004084116994872006,38,0.004938151041666667,0.028203125,0.011857663985733182,103,0.0010090258855585828
SPORTSMOT,1,v_5ekaksddqrc_c004,1280,720,824,8,824.0,783,1.0,4.975728155339806,1,41.0,41.0,41.0,0.00453013298208472,65,0.005651041666666667,0.026361762152777777,0.013676467490598835,109,0.0011105810644003978
SPORTSMOT,1,v_5ekaksddqrc_c004,1280,720,824,9,824.0,824,1.0,0.0,0,0.0,0.0,0.0,0.003469359548587258,101,0.007591145833333333,0.034612630208333335,0.017747219377865428,126,0.0012050467463210477
SPORTSMOT,1,v_5ekaksddqrc_c004,1280,720,824,10,824.0,683,1.0,17.111650485436893,2,70.5,109.0,32.0,0.003277129420198309,97,0.005128038194444445,0.029873046875,0.01426187952456483,100,0.001082184941654448
SPORTSMOT,1,v_5ekaksddqrc_c004,1280,720,824,3,784.0,784,0.9514563106796117,0.0,0,0.0,0.0,0.0,0.004097728015852361,98,0.0057942708333333336,0.03212348090277778,0.016513541777388036,115,0.0011655599789804172
SPORTSMOT,1,v_5ekaksddqrc_c004,1280,720,824,5,771.0,648,0.9356796116504854,15.953307392996107,1,123.0,123.0,123.0,0.003946854492814124,38,0.006982421875,0.0319921875,0.015947868441358024,93,0.0011110758924738106
SPORTSMOT,2,v_G-vNjfx1GGc_c601,1280,720,481,11,186.0,186,0.3866943866943867,0.0,0,0.0,0.0,0.0,0.004516454032696165,20,0.0013899739583333333,0.004618055555555556,0.0024313022700119475,28,0.00018639733483483484
SPORTSMOT,2,v_G-vNjfx1GGc_c601,1280,720,481,12,403.0,402,0.8378378378378378,0.24813895781637718,1,1.0,1.0,1.0,0.00403353694783265,42,0.001833767361111111,0.006163194444444444,0.003059520647629906,58,0.00021621023396370187
SPORTSMOT,2,v_G-vNjfx1GGc_c601,1280,720,481,13,426.0,368,0.8856548856548857,13.615023474178404,1,58.0,58.0,58.0,0.004551604936780709,2,0.0012152777777777778,0.008582899305555556,0.0039356471259812805,43,0.0002584416628822283
SPORTSMOT,2,v_G-vNjfx1GGc_c601,1280,720,481,14,481.0,371,1.0,22.86902286902287,1,110.0,110.0,110.0,0.0038812638235109108,3,0.0015625,0.006555989583333333,0.0031632845256813415,37,0.00023846893768768773
SPORTSMOT,2,v_G-vNjfx1GGc_c601,1280,720,481,15,481.0,295,1.0,38.66943866943867,1,186.0,186.0,186.0,0.004011468767832745,2,0.0009375,0.004105902777777778,0.002044701182909605,25,0.00013694019274376417
SPORTSMOT,2,v_G-vNjfx1GGc_c601,1280,720,481,16,293.0,233,0.6091476091476091,20.477815699658702,1,60.0,60.0,60.0,0.00362503190893626,2,0.0020833333333333333,0.0071875,0.00418841462505961,31,0.0002604914990421456
SPORTSMOT,2,v_G-vNjfx1GGc_c601,1280,720,481,17,481.0,256,1.0,46.77754677754678,1,225.0,225.0,225.0,0.0037546669419002226,2,0.00115234375,0.006555989583333333,0.002941131591796875,33,0.00018420649509803922
SPORTSMOT,2,v_G-vNjfx1GGc_c601,1280,720,481,18,279.0,248,0.58004158004158,11.11111111111111,2,15.5,30.0,1.0,0.0035080718487223756,10,0.001427951388888889,0.00984375,0.005116369322636649,32,0.0004672168451979307
SPORTSMOT,2,v_G-vNjfx1GGc_c601,1280,720,481,19,481.0,310,1.0,35.550935550935556,3,57.0,165.0,2.0,0.00547149023787089,5,0.0005642361111111111,0.004618055555555556,0.0014306850638440864,29,0.00011409733459187343
SPORTSMOT,2,v_G-vNjfx1GGc_c601,1280,720,481,20,467.0,436,0.9708939708939709,6.638115631691649,1,31.0,31.0,31.0,0.004383207415073059,57,0.0011328125,0.009505208333333333,0.0035325281918960243,54,0.00031016522988505744
SPORTSMOT,2,v_G-vNjfx1GGc_c601,1280,720,481,21,481.0,283,1.0,41.16424116424117,1,198.0,198.0,198.0,0.005015927662704145,2,0.0006532118055555555,0.005338541666666667,0.001504032777532391,24,0.00014274434840425533
SPORTSMOT,2,v_G-vNjfx1GGc_c601,1280,720,481,22,457.0,345,0.9501039501039501,24.50765864332604,1,112.0,112.0,112.0,0.0055884010984573445,2,0.0007443576388888889,0.00486328125,0.0018288766857890498,37,0.00013933048691860465
SPORTSMOT,2,v_G-vNjfx1GGc_c601,1280,720,481,23,481.0,263,1.0,45.32224532224532,2,109.0,217.0,1.0,0.004136638185630326,2,0.0005208333333333333,0.004283854166666667,0.0017451918633819181,24,0.0001387812102417303
SPORTSMOT,2,v_G-vNjfx1GGc_c601,1280,720,481,24,481.0,263,1.0,45.32224532224532,1,218.0,218.0,218.0,0.003970932879045032,2,0.0008051215277777778,0.004231770833333333,0.0018780447956273764,28,0.0001590206544211196
SPORTSMOT,2,v_G-vNjfx1GGc_c601,1280,720,481,25,360.0,360,0.7484407484407485,0.0,0,0.0,0.0,0.0,0.0036030829298448475,47,0.001484375,0.0066840277777777775,0.0038191581066743824,57,0.0003604848537604457
SPORTSMOT,2,v_G-vNjfx1GGc_c601,1280,720,481,26,327.0,264,0.6798336798336798,19.26605504587156,1,63.0,63.0,63.0,0.00664377647864865,14,0.00078125,0.002951388888888889,0.0014750820378261783,25,0.00013148731252640472
SPORTSMOT,2,v_G-vNjfx1GGc_c601,1280,720,481,27,259.0,227,0.5384615384615384,12.355212355212355,1,32.0,32.0,32.0,0.00771318912794418,12,0.0010243055555555556,0.0038020833333333335,0.0020715122904429763,23,0.00018695842551622418
SPORTSMOT,2,v_G-vNjfx1GGc_c601,1280,720,481,28,223.0,223,0.46361746361746364,0.0,0,0.0,0.0,0.0,0.007022143509071553,32,0.0008810763888888889,0.002758246527777778,0.0018860988493398102,32,0.00013001771302552554
SPORTSMOT,2,v_G-vNjfx1GGc_c601,1280,720,481,29,167.0,167,0.3471933471933472,0.0,0,0.0,0.0,0.0,0.003475898464203735,20,0.001494140625,0.006702473958333333,0.0038302301646706586,18,0.0003444703292336011
SPORTSMOT,2,v_G-vNjfx1GGc_c601,1280,720,481,30,54.0,54,0.11226611226611227,0.0,0,0.0,0.0,0.0,0.006331268135205978,2,0.0015972222222222223,0.005452473958333333,0.0032093340084876545,4,0.0003097975628930818
SPORTSMOT,3,v_9MHDmAMxO5I_c003,1280,720,226,31,226.0,197,1.0,12.831858407079647,1,29.0,29.0,29.0,0.0045445809433691114,24,0.00236328125,0.025173611111111112,0.010618858617103781,22,0.0006454225570436508
SPORTSMOT,3,v_9MHDmAMxO5I_c003,1280,720,226,32,226.0,226,1.0,0.0,0,0.0,0.0,0.0,0.005093831001514333,40,0.004869791666666666,0.015911458333333333,0.009122678143436579,39,0.0004644483024691358
SPORTSMOT,3,v_9MHDmAMxO5I_c003,1280,720,226,33,226.0,226,1.0,0.0,0,0.0,0.0,0.0,0.00545706910470328,31,0.004131944444444444,0.015707465277777777,0.009197956036442969,31,0.00037345196759259254
