dataset,video_id,video,video_width,video_height,video_length,track,track_length,track_length_visible,presence_ratio,occlusion_percentage,number_of_occlusions,avg_occlusion_length,max_occlusion_length,min_occlusion_length,avg_speed,number_of_abrupt_motion_changes,min_scale,max_scale,avg_scale,number_of_scale_changes,avg_scale_change
TAO,4,val/YFCC100M/v_25685519b728afd746dfd1b2fe77c,640,480,40,21,40.0,40,1.0,0.0,0,0.0,0.0,0.0,0.008428567686040143,3,0.0037239583333333335,0.043118489583333336,0.032843180338541667,9,0.0032496995192307686
TAO,4,val/YFCC100M/v_25685519b728afd746dfd1b2fe77c,640,480,40,22,40.0,39,1.0,2.5,1,1.0,1.0,1.0,0.012281586244577576,6,0.00044921875,0.026236979166666667,0.021712406517094017,5,0.004046566611842106
TAO,4,val/YFCC100M/v_25685519b728afd746dfd1b2fe77c,640,480,40,23,11.0,11,0.275,0.0,0,0.0,0.0,0.0,0.06504520248261757,1,0.0004296875,0.08613932291666666,0.028742009943181813,3,0.011216471354166667
TAO,4,val/YFCC100M/v_25685519b728afd746dfd1b2fe77c,640,480,40,24,40.0,32,1.0,20.0,4,2.0,5.0,1.0,0.01605383571910148,6,0.000263671875,0.013330078125,0.007802530924479166,8,0.0034224840389784944
TAO,4,val/YFCC100M/v_25685519b728afd746dfd1b2fe77c,640,480,40,25,4.0,4,0.1,0.0,0,0.0,0.0,0.0,0.04524075181123616,0,0.02328125,0.058333333333333334,0.04544270833333333,0,0.01168402777777778
TAO,4,val/YFCC100M/v_25685519b728afd746dfd1b2fe77c,640,480,40,26,9.0,9,0.225,0.0,0,0.0,0.0,0.0,0.03347220965305102,3,0.001171875,0.08365885416666667,0.029148943865740747,2,0.010310872395833334
TAO,4,val/YFCC100M/v_25685519b728afd746dfd1b2fe77c,640,480,40,27,3.0,3,0.075,0.0,0,0.0,0.0,0.0,0.08623662926084955,0,0.007265625,0.048984375,0.029560546875,0,0.029135742187499997
TAO,4,val/YFCC100M/v_25685519b728afd746dfd1b2fe77c,640,480,40,28,8.0,8,0.2,0.0,0,0.0,0.0,0.0,0.04982911756044228,1,0.000732421875,0.10447591145833333,0.03729329427083333,1,0.014820498511904761
TAO,20,val/YFCC100M/v_b74458f740348cd7c26b4c4339e0c5d6,640,480,40,127,40.0,40,1.0,0.0,0,0.0,0.0,0.0,0.02331236783965109,7,0.0006770833333333334,0.0021484375,0.0013407389322916666,5,0.0001546641292735042
TAO,20,val/YFCC100M/v_b74458f740348cd7c26b4c4339e0c5d6,640,480,40,128,40.0,40,1.0,0.0,0,0.0,0.0,0.0,0.02409323833790589,5,0.063642578125,0.333251953125,0.17765747070312501,6,0.008879790998931623
TAO,20,val/YFCC100M/v_b74458f740348cd7c26b4c4339e0c5d6,640,480,40,129,29.0,29,0.725,0.0,0,0.0,0.0,0.0,0.030778219297147257,4,0.0005859375,0.0009375,0.0008155980603448275,2,4.115513392857143e-05
TAO,20,val/YFCC100M/v_b74458f740348cd7c26b4c4339e0c5d6,640,480,40,130,29.0,29,0.725,0.0,0,0.0,0.0,0.0,0.03075195727507612,4,0.0005989583333333333,0.0008951822916666666,0.0007627289870689655,4,5.836123511904763e-05
TAO,20,val/YFCC100M/v_b74458f740348cd7c26b4c4339e0c5d6,640,480,40,131,29.0,29,0.725,0.0,0,0.0,0.0,0.0,0.031050991263337113,5,0.00029947916666666664,0.0008951822916666666,0.0007448814655172413,4,7.556733630952383e-05
TAO,20,val/YFCC100M/v_b74458f740348cd7c26b4c4339e0c5d6,640,480,40,132,29.0,28,0.725,3.4482758620689653,1,1.0,1.0,1.0,0.03202967992206824,5,0.0005240885416666666,0.00087890625,0.0007296316964285714,6,5.015432098765433e-05
TAO,20,val/YFCC100M/v_b74458f740348cd7c26b4c4339e0c5d6,640,480,40,134,10.0,10,0.25,0.0,0,0.0,0.0,0.0,0.08557159510114033,2,0.006666666666666667,0.0081640625,0.0076962890624999985,1,0.00029369212962962937
TAO,20,val/YFCC100M/v_b74458f740348cd7c26b4c4339e0c5d6,640,480,40,135,10.0,9,0.25,10.0,1,1.0,1.0,1.0,0.09637200281082026,2,0.000146484375,0.000322265625,0.00023835358796296297,2,5.2083333333333343e-05
TAO,20,val/YFCC100M/v_b74458f740348cd7c26b4c4339e0c5d6,640,480,40,136,20.0,20,0.5,0.0,0,0.0,0.0,0.0,0.053134960384610755,2,0.00010416666666666667,0.0152734375,0.01081103515625,3,0.0017346833881578948
TAO,22,val/YFCC100M/v_d6c861217f11c3b6a8e92e71b694b6,640,480,40,146,5.0,5,0.125,0.0,0,0.0,0.0,0.0,0.14340752695336212,1,0.012412109375,0.039459635416666666,0.027714843750000002,1,0.012683919270833333
TAO,22,val/YFCC100M/v_d6c861217f11c3b6a8e92e71b694b6,640,480,40,147,40.0,40,1.0,0.0,0,0.0,0.0,0.0,0.012651613021775998,6,0.0133203125,0.049479166666666664,0.040419514973958334,3,0.0038755341880341875
TAO,22,val/YFCC100M/v_d6c861217f11c3b6a8e92e71b694b6,640,480,40,148,4.0,4,0.1,0.0,0,0.0,0.0,0.0,0.11854786578464445,0,0.012369791666666666,0.0283203125,0.022242838541666667,1,0.007921006944444446
TAO,22,val/YFCC100M/v_d6c861217f11c3b6a8e92e71b694b6,640,480,40,149,6.0,6,0.15,0.0,0,0.0,0.0,0.0,0.13119196364266608,1,0.0096875,0.03289713541666667,0.02106282552083334,1,0.01083984375
TAO,22,val/YFCC100M/v_d6c861217f11c3b6a8e92e71b694b6,640,480,40,150,8.0,8,0.2,0.0,0,0.0,0.0,0.0,0.0800010418715579,2,0.004192708333333333,0.00947265625,0.006831054687500001,1,0.0014648437500000002
TAO,22,val/YFCC100M/v_d6c861217f11c3b6a8e92e71b694b6,640,480,40,151,17.0,17,0.425,0.0,0,0.0,0.0,0.0,0.03928452484634902,3,0.0013671875,0.013310546875,0.0071603094362745106,2,0.0022798665364583332
TAO,22,val/YFCC100M/v_d6c861217f11c3b6a8e92e71b694b6,640,480,40,152,2.0,2,0.05,0.0,0,0.0,0.0,0.0,0.28627456226496967,0,0.0059765625,0.01076171875,0.008369140625,0,0.0047851562499999995
TAO,22,val/YFCC100M/v_d6c861217f11c3b6a8e92e71b694b6,640,480,40,153,2.0,2,0.05,0.0,0,0.0,0.0,0.0,0.2813534531954424,0,0.014495442708333334,0.027734375,0.021114908854166666,0,0.013238932291666665
TAO,22,val/YFCC100M/v_d6c861217f11c3b6a8e92e71b694b6,640,480,40,154,5.0,5,0.125,0.0,0,0.0,0.0,0.0,0.14649943261919013,1,0.0008463541666666667,0.0669921875,0.0392109375,1,0.0233837890625
